Vocabulary Size:  27710
Total number of model parameters: 17.74M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  5.72 | loss 17.24 | ppl 30636546.54
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  5.28 | loss 18.89 | ppl 159912238.54
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  5.31 | loss 18.23 | ppl 82881193.56
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  5.24 | loss 18.26 | ppl 85441415.75
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  5.35 | loss 18.60 | ppl 119154815.65
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  5.42 | loss 18.40 | ppl 98271010.16
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  5.48 | loss 18.37 | ppl 95495446.78
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  5.36 | loss 18.20 | ppl 80495466.49
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  5.21 | loss 18.17 | ppl 78172855.97
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  5.20 | loss 18.75 | ppl 138821196.33
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  5.22 | loss 18.18 | ppl 78402077.29
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  5.21 | loss 18.68 | ppl 129581050.98
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  5.21 | loss 18.95 | ppl 169193553.66
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  5.27 | loss 18.47 | ppl 104557193.24
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  5.37 | loss 18.96 | ppl 170793812.37
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  5.45 | loss 18.63 | ppl 123676517.03
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  5.22 | loss 18.58 | ppl 117525212.90
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  5.23 | loss 18.73 | ppl 135971635.26
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  5.18 | loss 19.05 | ppl 186872554.56
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  5.25 | loss 18.78 | ppl 143610570.67
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  5.18 | loss 18.37 | ppl 94939513.38
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  5.20 | loss 18.58 | ppl 116939803.33
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  5.29 | loss 18.52 | ppl 109927278.37
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  5.43 | loss 18.54 | ppl 113163096.04
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  5.46 | loss 18.72 | ppl 135240005.81
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  5.35 | loss 18.81 | ppl 147046448.27
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  5.23 | loss 18.54 | ppl 112860418.03
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  5.47 | loss 17.94 | ppl 61747043.63
