Vocabulary Size:  27710
Total number of model parameters: 17.46M
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.98 | ppl   145.77
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.92 | ppl   137.23
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.91 | ppl   135.96
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.91 | ppl   135.88
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 70.45s | valid loss  5.10 | valid ppl   163.94
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.95 | ppl   141.85
| epoch   3 |  1000/15983 batches | lr 20.00 | ms/batch  4.38 | loss  4.96 | ppl   142.27
| epoch   3 |  1500/15983 batches | lr 20.00 | ms/batch  4.40 | loss  4.97 | ppl   144.03
| epoch   3 |  2000/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.91 | ppl   135.12
| epoch   3 |  2500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.89 | ppl   132.87
| epoch   3 |  3000/15983 batches | lr 20.00 | ms/batch  4.39 | loss  4.93 | ppl   138.42
| epoch   3 |  3500/15983 batches | lr 20.00 | ms/batch  4.49 | loss  4.94 | ppl   140.35
| epoch   3 |  4000/15983 batches | lr 20.00 | ms/batch  4.39 | loss  4.94 | ppl   139.58
| epoch   3 |  4500/15983 batches | lr 20.00 | ms/batch  4.38 | loss  4.94 | ppl   140.38
| epoch   3 |  5000/15983 batches | lr 20.00 | ms/batch  4.52 | loss  4.95 | ppl   141.30
| epoch   3 |  5500/15983 batches | lr 20.00 | ms/batch  4.47 | loss  4.94 | ppl   139.69
| epoch   3 |  6000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.95 | ppl   141.39
| epoch   3 |  6500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.91 | ppl   136.25
| epoch   3 |  7000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.93 | ppl   137.83
| epoch   3 |  7500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.90 | ppl   133.79
