Vocabulary Size:  27710
Total number of model parameters: 11.72M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  7.35 | loss  9.22 | ppl 10141.35
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  5.47 | loss  8.48 | ppl  4807.09
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  5.54 | loss  8.40 | ppl  4438.53
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  5.47 | loss  8.04 | ppl  3095.56
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  5.45 | loss  7.74 | ppl  2308.44
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  5.47 | loss  7.85 | ppl  2561.09
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  5.46 | loss  7.80 | ppl  2442.06
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  5.46 | loss  7.75 | ppl  2329.94
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  5.49 | loss  8.00 | ppl  2991.00
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  5.59 | loss  8.24 | ppl  3786.45
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  5.55 | loss  7.97 | ppl  2904.47
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  5.53 | loss  8.03 | ppl  3076.49
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  5.66 | loss  7.62 | ppl  2032.06
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  5.59 | loss  7.50 | ppl  1804.79
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  5.43 | loss  7.47 | ppl  1749.56
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  5.44 | loss  7.55 | ppl  1894.09
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  5.49 | loss  7.37 | ppl  1583.46
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  5.45 | loss  7.40 | ppl  1636.25
