Vocabulary Size:  27710
Total number of model parameters: 20.26M
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  7.08 | loss 23.89 | ppl 23615426222.19
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  7.01 | loss 23.66 | ppl 18903166730.59
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  7.03 | loss 23.99 | ppl 26251812060.88
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  7.07 | loss 23.49 | ppl 15947578065.42
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  6.99 | loss 23.81 | ppl 21913415586.43
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  6.98 | loss 24.34 | ppl 37146854549.71
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  7.02 | loss 23.61 | ppl 17877914184.02
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 113.17s | valid loss 19.33 | valid ppl 249010710.68
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch  7.03 | loss 23.16 | ppl 11394010403.21
| epoch   3 |  1000/15983 batches | lr 20.00 | ms/batch  7.10 | loss 23.06 | ppl 10330472318.36
| epoch   3 |  1500/15983 batches | lr 20.00 | ms/batch  7.05 | loss 22.78 | ppl 7825580854.25
| epoch   3 |  2000/15983 batches | lr 20.00 | ms/batch  7.06 | loss 23.25 | ppl 12503936061.83
| epoch   3 |  2500/15983 batches | lr 20.00 | ms/batch  7.02 | loss 23.47 | ppl 15566793919.25
| epoch   3 |  3000/15983 batches | lr 20.00 | ms/batch  6.99 | loss 23.38 | ppl 14314296002.24
| epoch   3 |  3500/15983 batches | lr 20.00 | ms/batch  7.01 | loss 23.28 | ppl 12852298325.31
| epoch   3 |  4000/15983 batches | lr 20.00 | ms/batch  7.11 | loss 23.25 | ppl 12532912124.39
| epoch   3 |  4500/15983 batches | lr 20.00 | ms/batch  7.16 | loss 22.95 | ppl 9305241365.86
| epoch   3 |  5000/15983 batches | lr 20.00 | ms/batch  7.25 | loss 23.66 | ppl 18924312686.78
| epoch   3 |  5500/15983 batches | lr 20.00 | ms/batch  7.20 | loss 23.56 | ppl 17112173410.62
| epoch   3 |  6000/15983 batches | lr 20.00 | ms/batch  7.22 | loss 23.35 | ppl 13824396456.64
| epoch   3 |  6500/15983 batches | lr 20.00 | ms/batch  7.17 | loss 23.71 | ppl 19905942069.43
| epoch   3 |  7000/15983 batches | lr 20.00 | ms/batch  7.14 | loss 23.17 | ppl 11586654257.40
| epoch   3 |  7500/15983 batches | lr 20.00 | ms/batch  7.02 | loss 23.50 | ppl 16026157248.94
| epoch   3 |  8000/15983 batches | lr 20.00 | ms/batch  7.03 | loss 23.93 | ppl 24757597833.52
| epoch   3 |  8500/15983 batches | lr 20.00 | ms/batch  7.19 | loss 23.81 | ppl 21819441404.72
| epoch   3 |  9000/15983 batches | lr 20.00 | ms/batch  7.21 | loss 23.57 | ppl 17215327933.06
| epoch   3 |  9500/15983 batches | lr 20.00 | ms/batch  7.04 | loss 23.56 | ppl 17100237391.58
| epoch   3 | 10000/15983 batches | lr 20.00 | ms/batch  7.04 | loss 23.78 | ppl 21178128181.70
| epoch   3 | 10500/15983 batches | lr 20.00 | ms/batch  6.99 | loss 24.25 | ppl 33930824581.03
| epoch   3 | 11000/15983 batches | lr 20.00 | ms/batch  7.03 | loss 23.63 | ppl 18370285163.87
| epoch   3 | 11500/15983 batches | lr 20.00 | ms/batch  7.07 | loss 23.89 | ppl 23768868545.72
| epoch   3 | 12000/15983 batches | lr 20.00 | ms/batch  7.28 | loss 23.55 | ppl 16811256479.22
| epoch   3 | 12500/15983 batches | lr 20.00 | ms/batch  7.14 | loss 23.99 | ppl 26342809318.35
| epoch   3 | 13000/15983 batches | lr 20.00 | ms/batch  7.00 | loss 23.69 | ppl 19433065871.77
| epoch   3 | 13500/15983 batches | lr 20.00 | ms/batch  7.06 | loss 23.72 | ppl 20021361903.77
