Vocabulary Size:  27710
Total number of model parameters: 11.59M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  4.70 | loss  7.92 | ppl  2738.20
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  4.27 | loss  6.24 | ppl   514.15
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  4.23 | loss  5.94 | ppl   380.55
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  4.15 | loss  5.73 | ppl   308.01
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  4.16 | loss  5.60 | ppl   271.49
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  4.15 | loss  5.61 | ppl   273.96
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  4.18 | loss  5.58 | ppl   266.04
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  4.15 | loss  5.57 | ppl   263.35
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  4.16 | loss  5.55 | ppl   256.51
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  4.18 | loss  5.53 | ppl   251.00
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  4.14 | loss  5.48 | ppl   239.99
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  4.15 | loss  5.49 | ppl   241.40
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  4.28 | loss  5.44 | ppl   229.34
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  4.16 | loss  5.45 | ppl   232.41
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  4.19 | loss  5.41 | ppl   222.60
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  4.28 | loss  5.48 | ppl   238.76
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  4.29 | loss  5.40 | ppl   222.24
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  4.26 | loss  5.37 | ppl   213.89
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  4.25 | loss  5.38 | ppl   217.05
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  4.26 | loss  5.37 | ppl   215.04
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  4.29 | loss  5.41 | ppl   223.20
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  4.28 | loss  5.41 | ppl   222.61
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  4.27 | loss  5.39 | ppl   218.69
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  4.12 | loss  5.59 | ppl   267.91
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  4.12 | loss  7.44 | ppl  1710.03
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  4.12 | loss  7.94 | ppl  2799.04
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  4.13 | loss  7.07 | ppl  1181.20
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  4.15 | loss  6.52 | ppl   677.33
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  4.12 | loss  6.37 | ppl   581.34
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  4.14 | loss  6.20 | ppl   491.40
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  4.14 | loss  6.17 | ppl   478.61
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 67.67s | valid loss  6.26 | valid ppl   520.74
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  4.15 | loss  6.15 | ppl   467.52
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  4.14 | loss  6.07 | ppl   432.89
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  4.12 | loss  6.09 | ppl   439.94
