Vocabulary Size:  27710
Total number of model parameters: 20.03M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  6.35 | loss 24.45 | ppl 41735741968.08
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  5.69 | loss 25.64 | ppl 136630793283.15
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  5.64 | loss 25.44 | ppl 111402680365.76
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  5.65 | loss 25.64 | ppl 136972965319.35
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  5.65 | loss 26.27 | ppl 256319181169.83
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  5.66 | loss 26.09 | ppl 214317382345.83
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  5.65 | loss 26.09 | ppl 214260270185.36
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  5.73 | loss 25.18 | ppl 85961365144.04
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  5.65 | loss 25.69 | ppl 142859478124.89
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  5.66 | loss 26.18 | ppl 233190184745.83
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  5.66 | loss 25.64 | ppl 136912038486.26
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  5.75 | loss 25.30 | ppl 97334665370.53
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  5.68 | loss 25.53 | ppl 122595552094.18
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  5.78 | loss 25.87 | ppl 171020486852.63
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  5.66 | loss 25.72 | ppl 148327392692.76
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  5.69 | loss 25.71 | ppl 146774760985.27
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  5.77 | loss 26.36 | ppl 281235506776.29
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  5.74 | loss 26.07 | ppl 210302771499.52
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  5.82 | loss 25.85 | ppl 169288301145.08
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  5.79 | loss 26.05 | ppl 204883341991.87
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  5.80 | loss 25.98 | ppl 191364138353.68
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  5.86 | loss 26.00 | ppl 196250538962.50
