Vocabulary Size:  27710
Total number of model parameters: 25.09M
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  7.71 | loss  7.24 | ppl  1389.20
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  7.65 | loss  7.30 | ppl  1480.37
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  7.66 | loss  7.17 | ppl  1305.98
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  7.63 | loss  7.21 | ppl  1359.66
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  7.64 | loss  7.23 | ppl  1380.07
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 124.34s | valid loss  6.90 | valid ppl   991.42
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch  7.66 | loss  7.33 | ppl  1520.70
| epoch   3 |  1000/15983 batches | lr 20.00 | ms/batch  7.68 | loss  7.33 | ppl  1518.54
| epoch   3 |  1500/15983 batches | lr 20.00 | ms/batch  7.70 | loss  7.32 | ppl  1513.89
| epoch   3 |  2000/15983 batches | lr 20.00 | ms/batch  7.64 | loss  7.33 | ppl  1528.61
| epoch   3 |  2500/15983 batches | lr 20.00 | ms/batch  7.67 | loss  7.22 | ppl  1365.44
| epoch   3 |  3000/15983 batches | lr 20.00 | ms/batch  7.65 | loss  7.30 | ppl  1485.07
| epoch   3 |  3500/15983 batches | lr 20.00 | ms/batch  7.68 | loss  7.29 | ppl  1463.44
| epoch   3 |  4000/15983 batches | lr 20.00 | ms/batch  7.66 | loss  7.29 | ppl  1463.81
| epoch   3 |  4500/15983 batches | lr 20.00 | ms/batch  7.64 | loss  7.28 | ppl  1445.10
| epoch   3 |  5000/15983 batches | lr 20.00 | ms/batch  7.64 | loss  7.37 | ppl  1591.30
| epoch   3 |  5500/15983 batches | lr 20.00 | ms/batch  7.76 | loss  7.31 | ppl  1488.96
| epoch   3 |  6000/15983 batches | lr 20.00 | ms/batch  7.64 | loss  7.34 | ppl  1533.50
| epoch   3 |  6500/15983 batches | lr 20.00 | ms/batch  7.66 | loss  7.26 | ppl  1423.92
| epoch   3 |  7000/15983 batches | lr 20.00 | ms/batch  7.65 | loss  7.36 | ppl  1571.26
| epoch   3 |  7500/15983 batches | lr 20.00 | ms/batch  7.67 | loss  7.29 | ppl  1472.46
| epoch   3 |  8000/15983 batches | lr 20.00 | ms/batch  7.66 | loss  7.35 | ppl  1561.15
| epoch   3 |  8500/15983 batches | lr 20.00 | ms/batch  7.67 | loss  7.30 | ppl  1486.44
| epoch   3 |  9000/15983 batches | lr 20.00 | ms/batch  7.83 | loss  7.30 | ppl  1473.07
| epoch   3 |  9500/15983 batches | lr 20.00 | ms/batch  7.88 | loss  7.29 | ppl  1468.30
| epoch   3 | 10000/15983 batches | lr 20.00 | ms/batch  7.74 | loss  7.28 | ppl  1446.23
| epoch   3 | 10500/15983 batches | lr 20.00 | ms/batch  7.71 | loss  7.28 | ppl  1448.48
| epoch   3 | 11000/15983 batches | lr 20.00 | ms/batch  7.64 | loss  7.28 | ppl  1447.06
| epoch   3 | 11500/15983 batches | lr 20.00 | ms/batch  7.70 | loss  7.29 | ppl  1459.18
| epoch   3 | 12000/15983 batches | lr 20.00 | ms/batch  7.96 | loss  7.22 | ppl  1367.24
