Vocabulary Size:  27710
Total number of model parameters: 23.64M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  8.13 | loss  9.69 | ppl 16184.53
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  6.52 | loss  8.45 | ppl  4694.31
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.52 | loss  8.32 | ppl  4119.34
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.51 | loss  8.48 | ppl  4803.60
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.50 | loss  7.78 | ppl  2402.70
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.52 | loss  7.68 | ppl  2169.33
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.49 | loss  7.84 | ppl  2541.73
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.50 | loss  7.72 | ppl  2243.89
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.53 | loss  7.48 | ppl  1766.23
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.51 | loss  7.39 | ppl  1616.38
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  6.51 | loss  7.31 | ppl  1489.49
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  6.50 | loss  7.35 | ppl  1549.54
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.50 | loss  7.33 | ppl  1523.75
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.52 | loss  7.42 | ppl  1671.00
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.50 | loss  7.32 | ppl  1513.23
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.52 | loss  7.36 | ppl  1573.22
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.53 | loss  7.32 | ppl  1514.32
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.48 | loss  7.31 | ppl  1495.44
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.49 | loss  7.29 | ppl  1458.85
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.51 | loss  7.30 | ppl  1472.93
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  6.48 | loss  7.31 | ppl  1499.30
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  6.49 | loss  7.23 | ppl  1379.71
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  6.50 | loss  7.28 | ppl  1444.91
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  6.50 | loss  7.14 | ppl  1264.57
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  6.52 | loss  7.31 | ppl  1494.36
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  6.53 | loss  7.24 | ppl  1399.42
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  6.55 | loss  7.24 | ppl  1400.95
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  6.46 | loss  7.26 | ppl  1419.31
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  6.48 | loss  7.20 | ppl  1335.30
