Vocabulary Size:  27710
Total number of model parameters: 11.92M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  9.03 | loss  9.25 | ppl 10454.75
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  6.74 | loss  8.42 | ppl  4555.90
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.81 | loss  8.33 | ppl  4150.68
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.72 | loss  8.39 | ppl  4412.94
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.77 | loss  7.81 | ppl  2455.84
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.78 | loss  8.22 | ppl  3711.94
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.74 | loss  7.78 | ppl  2396.02
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.77 | loss  8.11 | ppl  3336.83
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.82 | loss  7.88 | ppl  2656.53
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.60 | loss  7.77 | ppl  2359.85
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  7.00 | loss  7.79 | ppl  2426.97
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  6.73 | loss  7.50 | ppl  1804.90
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.73 | loss  7.39 | ppl  1615.51
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.75 | loss  7.53 | ppl  1860.10
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.74 | loss  7.37 | ppl  1591.52
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.76 | loss  7.43 | ppl  1682.68
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.68 | loss  7.32 | ppl  1513.06
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.84 | loss  7.30 | ppl  1482.54
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.86 | loss  7.37 | ppl  1582.39
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.68 | loss  7.30 | ppl  1485.95
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  6.65 | loss  7.34 | ppl  1536.55
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  6.81 | loss  7.32 | ppl  1509.81
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  6.84 | loss  7.35 | ppl  1561.62
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  6.84 | loss  7.30 | ppl  1486.91
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  6.76 | loss  7.27 | ppl  1434.54
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  6.67 | loss  7.33 | ppl  1519.62
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  6.87 | loss  7.32 | ppl  1506.25
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  6.94 | loss  7.39 | ppl  1622.91
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  6.76 | loss  7.26 | ppl  1426.91
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  6.96 | loss  7.25 | ppl  1401.24
