Vocabulary Size:  27710
Total number of model parameters: 11.84M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  7.29 | loss  9.18 | ppl  9732.73
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  5.68 | loss  8.31 | ppl  4075.33
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  5.88 | loss  8.35 | ppl  4220.63
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  5.58 | loss  8.57 | ppl  5277.79
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  5.57 | loss  8.20 | ppl  3631.86
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  5.59 | loss  8.26 | ppl  3866.09
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  5.60 | loss  8.20 | ppl  3640.40
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  5.58 | loss  8.04 | ppl  3108.37
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  5.56 | loss  7.67 | ppl  2142.76
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  5.57 | loss  7.62 | ppl  2036.55
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  5.58 | loss  7.43 | ppl  1678.60
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  5.57 | loss  7.44 | ppl  1699.02
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  5.62 | loss  7.38 | ppl  1601.49
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  5.54 | loss  7.44 | ppl  1702.41
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  5.58 | loss  7.46 | ppl  1729.14
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  5.55 | loss  7.44 | ppl  1695.80
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  5.56 | loss  7.37 | ppl  1581.53
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  5.57 | loss  7.33 | ppl  1520.15
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  5.56 | loss  7.37 | ppl  1584.46
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  5.61 | loss  7.34 | ppl  1542.84
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  5.58 | loss  7.32 | ppl  1516.67
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  5.61 | loss  7.36 | ppl  1571.17
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  5.60 | loss  7.36 | ppl  1573.66
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  5.61 | loss  7.34 | ppl  1537.79
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  5.62 | loss  7.28 | ppl  1452.66
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  5.77 | loss  7.32 | ppl  1504.90
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  5.62 | loss  7.28 | ppl  1455.57
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  5.65 | loss  7.33 | ppl  1520.65
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  5.85 | loss  7.26 | ppl  1418.58
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  5.69 | loss  7.26 | ppl  1422.50
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  7.28 | ppl  1443.91
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 91.36s | valid loss  7.03 | valid ppl  1127.40
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  5.77 | loss  7.33 | ppl  1528.79
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  5.72 | loss  7.36 | ppl  1566.43
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  5.88 | loss  7.40 | ppl  1637.97
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  5.70 | loss  7.32 | ppl  1505.02
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  5.74 | loss  7.25 | ppl  1408.14
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  5.71 | loss  7.33 | ppl  1526.84
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  5.83 | loss  7.31 | ppl  1502.07
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  5.63 | loss  7.32 | ppl  1503.85
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  5.93 | loss  7.43 | ppl  1682.91
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  5.77 | loss  7.35 | ppl  1562.67
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  5.62 | loss  7.37 | ppl  1592.29
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  5.67 | loss  7.34 | ppl  1548.30
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  5.78 | loss  7.28 | ppl  1449.25
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  5.67 | loss  7.38 | ppl  1600.85
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  5.65 | loss  7.35 | ppl  1553.37
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  5.66 | loss  7.36 | ppl  1570.22
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  5.64 | loss  7.32 | ppl  1515.74
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  5.71 | loss  7.32 | ppl  1514.07
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  5.69 | loss  7.34 | ppl  1547.88
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  5.62 | loss  7.33 | ppl  1518.72
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  5.65 | loss  7.28 | ppl  1446.38
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  5.70 | loss  7.36 | ppl  1569.60
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  5.80 | loss  7.30 | ppl  1484.01
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  5.64 | loss  7.31 | ppl  1488.27
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  5.60 | loss  7.33 | ppl  1528.07
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  5.67 | loss  7.34 | ppl  1541.41
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  5.65 | loss  7.30 | ppl  1484.83
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  5.65 | loss  7.36 | ppl  1567.93
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  5.73 | loss  7.23 | ppl  1375.45
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  5.62 | loss  7.25 | ppl  1406.94
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  5.76 | loss  7.26 | ppl  1424.05
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 91.92s | valid loss  6.91 | valid ppl   999.78
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch  5.67 | loss  7.32 | ppl  1515.24
| epoch   3 |  1000/15983 batches | lr 20.00 | ms/batch  5.64 | loss  7.35 | ppl  1561.00
| epoch   3 |  1500/15983 batches | lr 20.00 | ms/batch  5.60 | loss  7.33 | ppl  1524.02
| epoch   3 |  2000/15983 batches | lr 20.00 | ms/batch  5.72 | loss  7.28 | ppl  1455.37
| epoch   3 |  2500/15983 batches | lr 20.00 | ms/batch  5.66 | loss  7.28 | ppl  1445.59
| epoch   3 |  3000/15983 batches | lr 20.00 | ms/batch  5.78 | loss  7.27 | ppl  1443.18
| epoch   3 |  3500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  7.35 | ppl  1551.46
| epoch   3 |  4000/15983 batches | lr 20.00 | ms/batch  5.69 | loss  7.32 | ppl  1504.63
| epoch   3 |  4500/15983 batches | lr 20.00 | ms/batch  5.61 | loss  7.35 | ppl  1562.83
| epoch   3 |  5000/15983 batches | lr 20.00 | ms/batch  5.59 | loss  7.34 | ppl  1538.16
| epoch   3 |  5500/15983 batches | lr 20.00 | ms/batch  5.64 | loss  7.37 | ppl  1587.31
| epoch   3 |  6000/15983 batches | lr 20.00 | ms/batch  5.73 | loss  7.35 | ppl  1560.07
| epoch   3 |  6500/15983 batches | lr 20.00 | ms/batch  5.74 | loss  7.26 | ppl  1419.38
| epoch   3 |  7000/15983 batches | lr 20.00 | ms/batch  5.65 | loss  7.33 | ppl  1524.84
| epoch   3 |  7500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  7.45 | ppl  1719.78
| epoch   3 |  8000/15983 batches | lr 20.00 | ms/batch  5.64 | loss  7.39 | ppl  1622.62
| epoch   3 |  8500/15983 batches | lr 20.00 | ms/batch  5.58 | loss  7.32 | ppl  1517.20
| epoch   3 |  9000/15983 batches | lr 20.00 | ms/batch  5.73 | loss  7.34 | ppl  1535.08
