Vocabulary Size:  27710
Total number of model parameters: 23.64M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  8.03 | loss  9.80 | ppl 17970.82
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  6.42 | loss  8.45 | ppl  4675.63
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.44 | loss  8.25 | ppl  3840.16
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.42 | loss  8.23 | ppl  3752.06
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.43 | loss  8.12 | ppl  3369.86
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.43 | loss  8.20 | ppl  3643.25
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.40 | loss  8.07 | ppl  3202.63
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.40 | loss  8.06 | ppl  3167.09
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.41 | loss  8.11 | ppl  3334.75
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.40 | loss  8.13 | ppl  3407.56
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  6.42 | loss  8.10 | ppl  3303.47
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  6.40 | loss  8.15 | ppl  3460.33
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.40 | loss  8.45 | ppl  4668.21
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.41 | loss  8.08 | ppl  3219.87
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.39 | loss  7.66 | ppl  2129.43
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.51 | loss  7.49 | ppl  1782.80
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.50 | loss  7.36 | ppl  1568.51
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.49 | loss  7.35 | ppl  1552.66
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.43 | loss  7.39 | ppl  1616.28
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.49 | loss  7.34 | ppl  1538.59
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  6.44 | loss  7.37 | ppl  1595.12
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  6.37 | loss  7.31 | ppl  1497.89
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  6.48 | loss  7.34 | ppl  1541.55
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  6.49 | loss  7.24 | ppl  1395.50
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  6.48 | loss  7.29 | ppl  1472.72
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  6.49 | loss  7.29 | ppl  1469.41
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  6.56 | loss  7.29 | ppl  1468.64
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  6.47 | loss  7.30 | ppl  1475.24
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  6.41 | loss  7.08 | ppl  1192.09
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  6.43 | loss  7.15 | ppl  1274.50
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  6.45 | loss  7.21 | ppl  1356.32
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 104.41s | valid loss  7.09 | valid ppl  1194.10
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  6.47 | loss  7.25 | ppl  1409.01
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  6.41 | loss  7.35 | ppl  1551.61
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  6.43 | loss  7.30 | ppl  1485.40
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  6.42 | loss  7.20 | ppl  1344.12
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  6.45 | loss  7.08 | ppl  1187.50
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  6.44 | loss  7.19 | ppl  1326.60
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  6.45 | loss  7.20 | ppl  1343.41
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  6.42 | loss  7.25 | ppl  1408.71
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  6.45 | loss  7.18 | ppl  1314.68
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  6.45 | loss  7.32 | ppl  1509.91
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  6.44 | loss  7.24 | ppl  1391.65
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  6.44 | loss  7.23 | ppl  1378.40
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  6.44 | loss  7.23 | ppl  1373.63
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  6.45 | loss  7.31 | ppl  1492.61
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  6.46 | loss  7.34 | ppl  1533.89
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  6.45 | loss  7.36 | ppl  1568.10
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  6.42 | loss  7.25 | ppl  1411.81
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  6.42 | loss  7.23 | ppl  1373.69
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  6.44 | loss  7.23 | ppl  1377.09
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  6.41 | loss  7.24 | ppl  1388.98
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  6.43 | loss  7.31 | ppl  1493.86
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  6.44 | loss  7.22 | ppl  1367.37
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  6.42 | loss  7.25 | ppl  1411.64
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  6.45 | loss  7.19 | ppl  1328.99
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  6.45 | loss  7.19 | ppl  1332.42
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  6.43 | loss  7.19 | ppl  1332.32
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  6.46 | loss  7.26 | ppl  1415.34
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  6.43 | loss  7.24 | ppl  1392.16
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  6.45 | loss  7.16 | ppl  1284.13
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  6.44 | loss  7.21 | ppl  1356.43
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  6.44 | loss  7.18 | ppl  1309.90
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 103.54s | valid loss  6.94 | valid ppl  1031.17
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch  6.43 | loss  7.29 | ppl  1471.16
| epoch   3 |  1000/15983 batches | lr 20.00 | ms/batch  6.45 | loss  7.28 | ppl  1455.48
| epoch   3 |  1500/15983 batches | lr 20.00 | ms/batch  6.50 | loss  7.27 | ppl  1431.66
| epoch   3 |  2000/15983 batches | lr 20.00 | ms/batch  6.53 | loss  7.28 | ppl  1452.97
| epoch   3 |  2500/15983 batches | lr 20.00 | ms/batch  6.49 | loss  7.20 | ppl  1333.36
| epoch   3 |  3000/15983 batches | lr 20.00 | ms/batch  6.45 | loss  7.33 | ppl  1526.09
| epoch   3 |  3500/15983 batches | lr 20.00 | ms/batch  6.45 | loss  7.22 | ppl  1370.82
| epoch   3 |  4000/15983 batches | lr 20.00 | ms/batch  6.52 | loss  7.33 | ppl  1521.53
| epoch   3 |  4500/15983 batches | lr 20.00 | ms/batch  6.48 | loss  7.28 | ppl  1446.11
| epoch   3 |  5000/15983 batches | lr 20.00 | ms/batch  6.44 | loss  7.40 | ppl  1639.66
| epoch   3 |  5500/15983 batches | lr 20.00 | ms/batch  6.44 | loss  7.28 | ppl  1448.23
