Vocabulary Size:  27710
Total number of model parameters: 11.35M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  3.71 | loss 16.66 | ppl 17269505.30
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  3.22 | loss 15.57 | ppl 5773770.62
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  3.23 | loss 15.11 | ppl 3643342.04
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  3.22 | loss 14.09 | ppl 1310953.21
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  3.22 | loss 11.93 | ppl 151368.69
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  3.23 | loss 12.01 | ppl 164737.79
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  3.21 | loss 12.81 | ppl 367615.59
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  3.25 | loss 13.57 | ppl 780180.38
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  3.23 | loss 13.91 | ppl 1099324.55
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  3.23 | loss 14.78 | ppl 2612186.65
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  3.24 | loss 15.91 | ppl 8112050.78
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  3.22 | loss 15.75 | ppl 6942740.66
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  3.24 | loss 16.26 | ppl 11475248.82
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  3.24 | loss 15.95 | ppl 8434156.08
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  3.24 | loss 16.01 | ppl 8993036.68
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  3.24 | loss 15.91 | ppl 8113793.79
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  3.21 | loss 15.77 | ppl 7061466.39
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  3.22 | loss 15.96 | ppl 8529015.63
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  3.25 | loss 16.18 | ppl 10669733.99
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  3.22 | loss 15.82 | ppl 7439261.03
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  3.22 | loss 16.01 | ppl 8931604.12
