Vocabulary Size:  27710
Total number of model parameters: 8.62M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  3.22 | loss  7.04 | ppl  1139.40
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  2.74 | loss  6.33 | ppl   561.39
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  2.74 | loss  6.05 | ppl   425.25
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  2.74 | loss  5.84 | ppl   342.60
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  2.75 | loss  5.69 | ppl   295.56
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  2.75 | loss  5.69 | ppl   294.48
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  2.74 | loss  5.66 | ppl   285.88
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  2.74 | loss  5.63 | ppl   279.82
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  2.75 | loss  5.61 | ppl   271.95
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  2.74 | loss  5.57 | ppl   261.22
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  2.74 | loss  5.51 | ppl   247.22
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  2.74 | loss  5.51 | ppl   246.89
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  2.74 | loss  5.45 | ppl   233.92
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  2.83 | loss  5.47 | ppl   236.37
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  2.74 | loss  5.41 | ppl   223.45
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  2.75 | loss  5.47 | ppl   238.05
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  2.75 | loss  5.39 | ppl   219.49
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  2.75 | loss  5.34 | ppl   209.50
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  2.75 | loss  5.34 | ppl   208.59
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  2.74 | loss  5.33 | ppl   206.61
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  2.75 | loss  5.36 | ppl   213.78
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  2.74 | loss  5.36 | ppl   213.31
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  2.75 | loss  5.33 | ppl   206.68
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  2.73 | loss  5.31 | ppl   202.57
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  2.74 | loss  5.27 | ppl   194.11
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  2.74 | loss  5.29 | ppl   197.51
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  2.76 | loss  5.32 | ppl   203.39
