Vocabulary Size:  27710
Total number of model parameters: 25.09M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 11.22 | loss  9.82 | ppl 18398.20
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  8.90 | loss  8.44 | ppl  4640.16
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  8.88 | loss  8.23 | ppl  3763.85
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  8.99 | loss  8.19 | ppl  3612.05
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  8.90 | loss  8.79 | ppl  6582.04
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  8.86 | loss  8.24 | ppl  3779.07
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  8.84 | loss  8.03 | ppl  3066.86
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  8.81 | loss  8.09 | ppl  3259.51
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  8.95 | loss  8.11 | ppl  3323.86
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  8.84 | loss  8.20 | ppl  3629.21
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  8.91 | loss  7.97 | ppl  2895.70
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  8.92 | loss  8.03 | ppl  3060.50
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  8.89 | loss  7.71 | ppl  2231.40
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  8.98 | loss  7.83 | ppl  2503.50
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  8.95 | loss  7.86 | ppl  2582.29
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  9.07 | loss  7.80 | ppl  2450.26
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  9.08 | loss  7.65 | ppl  2106.76
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  8.86 | loss  7.97 | ppl  2896.46
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  8.85 | loss  7.90 | ppl  2709.20
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  8.84 | loss  7.62 | ppl  2029.10
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  8.87 | loss  7.49 | ppl  1795.66
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  8.94 | loss  7.40 | ppl  1640.79
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  8.80 | loss  7.34 | ppl  1533.96
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  9.02 | loss  7.25 | ppl  1410.10
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  8.85 | loss  7.28 | ppl  1457.46
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  8.89 | loss  7.29 | ppl  1458.31
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  8.97 | loss  7.28 | ppl  1448.79
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  9.03 | loss  7.29 | ppl  1462.08
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  9.01 | loss  7.22 | ppl  1360.25
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  8.96 | loss  7.26 | ppl  1420.54
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  8.92 | loss  7.29 | ppl  1461.13
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 144.71s | valid loss  7.11 | valid ppl  1223.24
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  8.96 | loss  7.32 | ppl  1509.50
