Vocabulary Size:  27710
Total number of model parameters: 5.89M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 10.03 | loss  9.25 | ppl 10360.18
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  7.45 | loss  8.48 | ppl  4841.12
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  7.44 | loss  8.39 | ppl  4411.60
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  7.43 | loss  8.32 | ppl  4088.09
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  7.71 | loss  8.03 | ppl  3078.20
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  7.90 | loss  7.75 | ppl  2330.21
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  8.42 | loss  7.55 | ppl  1906.25
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  7.42 | loss  7.56 | ppl  1916.20
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  7.42 | loss  7.45 | ppl  1715.40
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  7.45 | loss  7.46 | ppl  1736.49
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  7.48 | loss  7.39 | ppl  1625.80
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  7.42 | loss  7.44 | ppl  1694.70
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  7.48 | loss  7.36 | ppl  1578.53
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  7.48 | loss  7.39 | ppl  1627.27
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  7.39 | loss  7.38 | ppl  1608.73
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  7.49 | loss  7.51 | ppl  1819.64
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  7.64 | loss  7.37 | ppl  1593.76
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  7.45 | loss  7.33 | ppl  1529.91
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  7.45 | loss  7.37 | ppl  1594.92
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  7.42 | loss  7.36 | ppl  1564.50
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  7.39 | loss  7.33 | ppl  1529.72
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  7.40 | loss  7.35 | ppl  1563.83
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  7.49 | loss  7.40 | ppl  1629.36
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  7.52 | loss  7.31 | ppl  1500.42
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  8.12 | loss  7.37 | ppl  1586.50
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  7.98 | loss  7.37 | ppl  1587.39
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  7.45 | loss  7.27 | ppl  1439.22
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  7.49 | loss  7.35 | ppl  1555.64
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  7.46 | loss  7.24 | ppl  1393.63
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  7.34 | loss  7.33 | ppl  1522.68
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  7.38 | loss  7.28 | ppl  1453.74
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 122.91s | valid loss 11.60 | valid ppl 108767.63
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  7.59 | loss  7.47 | ppl  1761.11
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  7.48 | loss  7.40 | ppl  1632.38
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  7.37 | loss  7.37 | ppl  1583.86
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  7.54 | loss  7.36 | ppl  1578.77
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  7.48 | loss  7.32 | ppl  1507.35
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  7.44 | loss  7.34 | ppl  1538.18
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  7.48 | loss  7.39 | ppl  1619.89
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  7.41 | loss  7.32 | ppl  1505.11
