Vocabulary Size:  27710
Total number of model parameters: 12.08M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  8.82 | loss  9.26 | ppl 10550.08
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  6.73 | loss  8.51 | ppl  4976.31
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.54 | loss  8.26 | ppl  3881.50
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.51 | loss  8.24 | ppl  3806.26
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.47 | loss  8.26 | ppl  3859.74
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.68 | loss  8.19 | ppl  3590.23
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.82 | loss  8.09 | ppl  3270.32
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.60 | loss  8.12 | ppl  3366.34
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.52 | loss  8.18 | ppl  3572.70
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.56 | loss  7.94 | ppl  2794.71
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  6.59 | loss  8.07 | ppl  3181.90
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  7.05 | loss  8.10 | ppl  3290.08
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.52 | loss  7.94 | ppl  2802.85
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.57 | loss  8.28 | ppl  3943.34
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.58 | loss  7.77 | ppl  2359.69
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.47 | loss  7.71 | ppl  2241.41
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.54 | loss  7.38 | ppl  1611.36
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.56 | loss  7.39 | ppl  1622.63
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.53 | loss  7.34 | ppl  1542.43
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.95 | loss  7.36 | ppl  1571.38
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  7.14 | loss  7.32 | ppl  1512.67
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  6.58 | loss  7.28 | ppl  1446.27
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  6.90 | loss  7.33 | ppl  1528.06
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  6.71 | loss  7.30 | ppl  1476.77
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  7.25 | loss  7.27 | ppl  1442.50
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  6.94 | loss  7.33 | ppl  1527.65
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  6.64 | loss  7.30 | ppl  1487.48
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  6.69 | loss  7.32 | ppl  1502.72
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  6.53 | loss  7.34 | ppl  1537.97
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  6.55 | loss  7.32 | ppl  1507.02
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  6.59 | loss  7.29 | ppl  1471.35
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 108.64s | valid loss  6.91 | valid ppl  1002.56
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  6.69 | loss  7.43 | ppl  1690.35
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  6.63 | loss  7.44 | ppl  1700.42
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  7.15 | loss  7.32 | ppl  1507.64
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  6.56 | loss  7.36 | ppl  1572.74
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  6.76 | loss  7.32 | ppl  1508.10
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  6.68 | loss  7.39 | ppl  1613.81
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  6.70 | loss  7.34 | ppl  1546.29
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  6.56 | loss  7.36 | ppl  1569.96
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  6.64 | loss  7.35 | ppl  1562.72
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  6.68 | loss  7.39 | ppl  1622.71
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  6.89 | loss  7.32 | ppl  1505.19
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  6.58 | loss  7.39 | ppl  1621.03
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  6.62 | loss  7.33 | ppl  1529.10
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  6.68 | loss  7.40 | ppl  1634.68
