Vocabulary Size:  27710
Total number of model parameters: 20.99M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  6.25 | loss  6.81 | ppl   910.89
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  5.37 | loss  6.01 | ppl   408.33
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  5.28 | loss  5.77 | ppl   321.87
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  5.30 | loss  5.57 | ppl   262.37
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  5.36 | loss  5.45 | ppl   232.87
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  5.29 | loss  5.45 | ppl   231.93
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  5.29 | loss  5.41 | ppl   223.10
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  5.30 | loss  5.39 | ppl   218.49
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  5.31 | loss  5.35 | ppl   210.23
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  5.29 | loss  5.32 | ppl   204.26
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  5.30 | loss  5.26 | ppl   193.35
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  5.28 | loss  5.26 | ppl   192.58
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  5.28 | loss  5.20 | ppl   181.56
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  5.28 | loss  5.21 | ppl   182.30
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  5.31 | loss  5.15 | ppl   173.11
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  5.30 | loss  5.22 | ppl   185.31
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  5.30 | loss  5.14 | ppl   171.19
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  5.30 | loss  5.08 | ppl   161.36
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  5.28 | loss  5.08 | ppl   161.53
