Vocabulary Size:  27710
Total number of model parameters: 23.80M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  8.51 | loss  9.66 | ppl 15732.07
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  6.61 | loss  8.48 | ppl  4815.92
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.56 | loss  8.22 | ppl  3732.13
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.54 | loss  8.17 | ppl  3540.71
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.60 | loss  8.01 | ppl  3010.51
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.54 | loss  8.05 | ppl  3147.56
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.50 | loss  8.34 | ppl  4200.19
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.54 | loss  8.02 | ppl  3035.85
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.53 | loss  8.16 | ppl  3484.39
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.51 | loss  8.09 | ppl  3264.36
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  6.54 | loss  8.97 | ppl  7860.82
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  6.63 | loss  7.78 | ppl  2380.36
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.53 | loss  7.86 | ppl  2601.08
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.53 | loss  8.10 | ppl  3309.16
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.53 | loss  8.08 | ppl  3232.56
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.51 | loss  8.14 | ppl  3435.15
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.51 | loss  7.54 | ppl  1886.56
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.52 | loss  7.54 | ppl  1885.44
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.50 | loss  7.26 | ppl  1418.49
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.53 | loss  7.30 | ppl  1477.55
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  6.51 | loss  7.27 | ppl  1441.87
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  6.51 | loss  7.31 | ppl  1493.23
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  6.51 | loss  7.29 | ppl  1471.91
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  6.54 | loss  7.17 | ppl  1305.85
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  6.52 | loss  7.26 | ppl  1415.45
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  6.52 | loss  7.21 | ppl  1346.46
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  6.53 | loss  7.17 | ppl  1302.09
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  6.56 | loss  7.23 | ppl  1381.12
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  6.52 | loss  7.13 | ppl  1250.51
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  6.52 | loss  7.26 | ppl  1427.30
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  6.52 | loss  7.16 | ppl  1284.88
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 106.09s | valid loss  7.44 | valid ppl  1702.60
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  6.60 | loss  7.32 | ppl  1503.31
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  6.58 | loss  7.30 | ppl  1478.75
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  6.55 | loss  7.24 | ppl  1387.23
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  6.55 | loss  7.34 | ppl  1544.69
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  6.56 | loss  7.18 | ppl  1307.97
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  6.66 | loss  7.25 | ppl  1412.60
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  6.61 | loss  7.29 | ppl  1471.84
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  6.53 | loss  7.29 | ppl  1464.59
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  6.52 | loss  7.33 | ppl  1522.17
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  6.52 | loss  7.35 | ppl  1555.60
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  6.51 | loss  7.31 | ppl  1502.32
