Vocabulary Size:  27710
Total number of model parameters: 18.90M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  6.67 | loss  6.84 | ppl   938.18
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  6.15 | loss  6.03 | ppl   417.32
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.14 | loss  5.80 | ppl   331.02
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.17 | loss  5.59 | ppl   267.61
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.20 | loss  5.46 | ppl   235.50
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.13 | loss  5.45 | ppl   231.61
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.13 | loss  5.40 | ppl   222.28
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.13 | loss  5.38 | ppl   216.79
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.14 | loss  5.33 | ppl   206.82
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.14 | loss  5.30 | ppl   200.87
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  6.13 | loss  5.25 | ppl   189.69
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  6.14 | loss  5.24 | ppl   189.58
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.19 | loss  5.18 | ppl   178.53
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.17 | loss  5.19 | ppl   179.12
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.14 | loss  5.14 | ppl   170.36
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.14 | loss  5.21 | ppl   182.20
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.20 | loss  5.12 | ppl   167.78
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.15 | loss  5.07 | ppl   158.91
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.18 | loss  5.07 | ppl   158.80
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.21 | loss  5.04 | ppl   154.88
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  6.15 | loss  5.08 | ppl   161.17
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  6.14 | loss  5.08 | ppl   160.41
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  6.13 | loss  5.04 | ppl   154.68
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  6.14 | loss  5.03 | ppl   152.47
