Vocabulary Size:  27710
Total number of model parameters: 12.08M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  9.72 | loss  9.34 | ppl 11437.74
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  6.77 | loss  8.40 | ppl  4445.61
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.72 | loss  8.22 | ppl  3731.12
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.58 | loss  8.20 | ppl  3632.91
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.67 | loss  7.97 | ppl  2898.38
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.65 | loss  8.27 | ppl  3911.93
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.59 | loss  7.70 | ppl  2205.54
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.74 | loss  7.79 | ppl  2423.83
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.78 | loss  7.71 | ppl  2224.33
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.76 | loss  7.82 | ppl  2490.34
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  6.63 | loss  7.69 | ppl  2189.06
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  6.91 | loss  7.59 | ppl  1979.69
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.73 | loss  7.35 | ppl  1550.61
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.69 | loss  7.55 | ppl  1901.89
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.96 | loss  7.46 | ppl  1731.32
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.66 | loss  7.44 | ppl  1707.64
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.68 | loss  7.43 | ppl  1681.06
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.89 | loss  7.32 | ppl  1506.35
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.84 | loss  7.38 | ppl  1599.66
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.98 | loss  7.28 | ppl  1449.51
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  7.14 | loss  7.33 | ppl  1524.19
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  7.06 | loss  7.35 | ppl  1553.82
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  7.00 | loss  7.30 | ppl  1483.70
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  6.94 | loss  7.26 | ppl  1416.86
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  7.26 | loss  7.29 | ppl  1472.30
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  6.73 | loss  7.34 | ppl  1545.21
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  6.66 | loss  7.30 | ppl  1487.40
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  6.61 | loss  7.30 | ppl  1478.10
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  6.67 | loss  7.19 | ppl  1329.34
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  6.68 | loss  7.28 | ppl  1455.84
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  7.31 | loss  7.23 | ppl  1384.47
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 111.23s | valid loss  6.73 | valid ppl   838.43
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  6.78 | loss  7.36 | ppl  1574.57
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  6.63 | loss  7.35 | ppl  1557.77
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  6.68 | loss  7.34 | ppl  1537.18
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  6.86 | loss  7.36 | ppl  1577.56
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  6.86 | loss  7.31 | ppl  1499.86
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  6.83 | loss  7.28 | ppl  1458.22
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  6.76 | loss  7.32 | ppl  1510.69
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  7.13 | loss  7.34 | ppl  1547.28
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  7.12 | loss  7.38 | ppl  1603.45
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  6.83 | loss  7.42 | ppl  1666.44
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  7.01 | loss  7.37 | ppl  1591.46
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  7.21 | loss  7.35 | ppl  1561.40
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  6.95 | loss  7.31 | ppl  1497.57
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  6.81 | loss  7.37 | ppl  1581.12
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  7.04 | loss  7.40 | ppl  1637.22
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  7.01 | loss  7.43 | ppl  1689.90
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  6.83 | loss  7.32 | ppl  1510.81
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  7.15 | loss  7.37 | ppl  1581.16
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  6.65 | loss  7.26 | ppl  1417.30
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  6.75 | loss  7.31 | ppl  1502.50
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  6.65 | loss  7.31 | ppl  1491.67
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  6.68 | loss  7.34 | ppl  1546.03
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  6.63 | loss  7.30 | ppl  1474.63
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  6.88 | loss  7.28 | ppl  1453.00
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  6.61 | loss  7.32 | ppl  1515.17
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  7.03 | loss  7.31 | ppl  1496.54
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  6.69 | loss  7.34 | ppl  1533.63
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  6.72 | loss  7.30 | ppl  1479.36
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  7.38 | loss  7.23 | ppl  1379.25
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  6.70 | loss  7.19 | ppl  1328.42
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  6.65 | loss  7.24 | ppl  1387.32
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 110.33s | valid loss  6.98 | valid ppl  1078.49
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 5.00 | ms/batch  6.72 | loss  6.58 | ppl   722.03
| epoch   3 |  1000/15983 batches | lr 5.00 | ms/batch  6.63 | loss  6.59 | ppl   729.29
| epoch   3 |  1500/15983 batches | lr 5.00 | ms/batch  6.74 | loss  6.63 | ppl   754.71
| epoch   3 |  2000/15983 batches | lr 5.00 | ms/batch  6.67 | loss  6.55 | ppl   697.35
| epoch   3 |  2500/15983 batches | lr 5.00 | ms/batch  6.94 | loss  6.49 | ppl   655.45
| epoch   3 |  3000/15983 batches | lr 5.00 | ms/batch  6.62 | loss  6.57 | ppl   710.45
