Vocabulary Size:  27710
Total number of model parameters: 20.00M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  6.15 | loss 21.99 | ppl 3544475309.06
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  5.64 | loss 22.47 | ppl 5724892752.45
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  5.64 | loss 22.11 | ppl 4006019637.85
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  5.65 | loss 22.58 | ppl 6375154468.79
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  5.67 | loss 22.58 | ppl 6391780735.32
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  5.66 | loss 22.95 | ppl 9294300148.37
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  5.66 | loss 22.68 | ppl 7105056548.59
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  5.65 | loss 22.67 | ppl 7036394979.89
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  5.64 | loss 22.42 | ppl 5462356972.66
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  5.66 | loss 22.97 | ppl 9477657756.75
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  5.65 | loss 22.05 | ppl 3770791603.57
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  5.68 | loss 23.02 | ppl 9937508671.79
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  5.68 | loss 22.73 | ppl 7420598426.20
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  5.65 | loss 22.71 | ppl 7326168407.56
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  5.65 | loss 22.77 | ppl 7770702962.97
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  5.64 | loss 23.43 | ppl 14966200905.25
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  5.68 | loss 22.90 | ppl 8819003618.93
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  5.65 | loss 22.65 | ppl 6890893765.87
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  5.65 | loss 22.03 | ppl 3696957115.61
