Vocabulary Size:  27710
Total number of model parameters: 24.37M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  9.12 | loss  9.72 | ppl 16662.77
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  7.50 | loss  8.46 | ppl  4713.93
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  7.45 | loss  8.34 | ppl  4168.15
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  7.53 | loss  8.17 | ppl  3548.94
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  7.45 | loss  8.12 | ppl  3357.36
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  7.48 | loss  8.07 | ppl  3184.57
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  7.45 | loss  8.02 | ppl  3035.37
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  7.46 | loss  7.88 | ppl  2649.11
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  7.47 | loss  7.73 | ppl  2282.51
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  7.48 | loss  7.57 | ppl  1939.94
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  7.49 | loss  7.58 | ppl  1949.20
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  7.51 | loss  7.41 | ppl  1652.05
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  7.62 | loss  7.30 | ppl  1479.03
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  7.54 | loss  7.58 | ppl  1966.91
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  7.49 | loss  7.36 | ppl  1575.97
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  7.47 | loss  7.40 | ppl  1631.89
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  7.53 | loss  7.34 | ppl  1544.55
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  7.59 | loss  7.29 | ppl  1470.04
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  7.66 | loss  7.33 | ppl  1532.44
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  7.55 | loss  7.28 | ppl  1445.09
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  7.50 | loss  7.35 | ppl  1561.74
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  7.48 | loss  7.28 | ppl  1457.85
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  7.46 | loss  7.35 | ppl  1556.54
