Vocabulary Size:  27710
Total number of model parameters: 14.91M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  9.58 | ppl 14427.23
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  5.15 | loss  6.74 | ppl   844.90
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  5.18 | loss  6.17 | ppl   480.33
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  5.15 | loss  5.90 | ppl   365.83
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  5.19 | loss  5.76 | ppl   318.67
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  5.17 | loss  5.77 | ppl   320.62
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  5.16 | loss  5.74 | ppl   311.15
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  5.16 | loss  5.73 | ppl   307.83
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  5.17 | loss  5.71 | ppl   300.72
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  5.20 | loss  5.68 | ppl   293.42
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  5.14 | loss  5.63 | ppl   279.11
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  5.18 | loss  5.64 | ppl   280.66
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  5.38 | loss  5.60 | ppl   271.26
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  5.35 | loss  5.74 | ppl   312.51
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  5.15 | loss  5.90 | ppl   365.08
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  5.14 | loss  5.95 | ppl   384.79
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  5.16 | loss  5.89 | ppl   362.77
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  5.15 | loss  5.90 | ppl   363.77
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  5.16 | loss  5.92 | ppl   371.52
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  5.17 | loss  5.92 | ppl   373.19
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  5.16 | loss  5.97 | ppl   390.33
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  5.12 | loss  5.93 | ppl   376.38
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  5.20 | loss  5.91 | ppl   369.93
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  5.16 | loss  5.93 | ppl   377.08
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  5.13 | loss  5.90 | ppl   365.05
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  5.13 | loss  5.93 | ppl   376.09
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  5.16 | loss  5.97 | ppl   393.20
