Vocabulary Size:  27710
Total number of model parameters: 14.73M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  6.54 | loss 25.09 | ppl 78400213785.11
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  6.02 | loss 25.91 | ppl 178311079547.15
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.05 | loss 25.82 | ppl 163643058251.39
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.03 | loss 25.89 | ppl 175456174107.00
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.02 | loss 25.73 | ppl 149564647092.69
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.02 | loss 25.66 | ppl 139984675364.94
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.03 | loss 25.58 | ppl 128360758866.24
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.06 | loss 25.70 | ppl 145227532235.28
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.05 | loss 25.07 | ppl 77577334594.96
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.02 | loss 25.58 | ppl 129067829145.10
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  6.13 | loss 25.63 | ppl 134834321877.17
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  6.06 | loss 25.80 | ppl 160301745857.21
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.04 | loss 25.65 | ppl 138370034619.98
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.05 | loss 25.96 | ppl 188906149063.02
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.02 | loss 25.93 | ppl 181826414105.83
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.05 | loss 25.95 | ppl 186131783943.17
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.03 | loss 25.82 | ppl 164215793855.29
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.05 | loss 26.65 | ppl 375915542068.52
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.11 | loss 25.82 | ppl 163641784476.82
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.20 | loss 25.27 | ppl 94685248915.02
