Vocabulary Size:  27710
Total number of model parameters: 6.05M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  9.03 | loss  9.10 | ppl  8998.46
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  7.71 | loss  8.41 | ppl  4482.34
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  8.00 | loss  8.25 | ppl  3832.85
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  7.60 | loss  8.43 | ppl  4587.27
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  8.18 | loss  8.18 | ppl  3580.12
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  7.88 | loss  8.12 | ppl  3374.89
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  7.81 | loss  8.07 | ppl  3209.29
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  8.27 | loss  8.11 | ppl  3324.34
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  7.85 | loss  8.09 | ppl  3276.39
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  7.43 | loss  7.97 | ppl  2880.97
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  7.73 | loss  7.49 | ppl  1791.54
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  7.44 | loss  7.50 | ppl  1816.89
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  7.46 | loss  7.46 | ppl  1741.63
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  7.42 | loss  7.47 | ppl  1750.34
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  7.38 | loss  7.44 | ppl  1696.14
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  7.34 | loss  7.44 | ppl  1704.84
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  7.85 | loss  7.35 | ppl  1556.64
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  8.25 | loss  7.42 | ppl  1665.98
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  7.78 | loss  7.39 | ppl  1615.14
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  8.08 | loss  7.35 | ppl  1559.92
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  7.82 | loss  7.32 | ppl  1506.55
