Vocabulary Size:  27710
Total number of model parameters: 11.75M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  4.83 | loss  6.84 | ppl   933.91
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  4.22 | loss  6.04 | ppl   419.84
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  4.26 | loss  5.83 | ppl   338.70
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  4.23 | loss  5.63 | ppl   277.46
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  4.22 | loss  5.50 | ppl   245.29
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  4.24 | loss  5.50 | ppl   244.88
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  4.34 | loss  5.46 | ppl   235.44
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  4.30 | loss  5.44 | ppl   230.35
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  4.24 | loss  5.40 | ppl   222.01
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  4.29 | loss  5.37 | ppl   215.40
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  4.42 | loss  5.32 | ppl   204.92
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  4.53 | loss  5.32 | ppl   204.72
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  4.29 | loss  5.26 | ppl   193.24
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.27 | ppl   194.24
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  4.26 | loss  5.22 | ppl   185.59
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  4.27 | loss  5.29 | ppl   197.88
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  4.26 | loss  5.21 | ppl   182.44
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  4.22 | loss  5.15 | ppl   173.22
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  4.26 | loss  5.16 | ppl   173.80
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  4.23 | loss  5.14 | ppl   170.31
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  4.21 | loss  5.18 | ppl   177.16
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  4.22 | loss  5.18 | ppl   176.98
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  4.22 | loss  5.14 | ppl   170.15
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  4.23 | loss  5.13 | ppl   168.45
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  4.23 | loss  5.08 | ppl   161.21
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  4.28 | loss  5.11 | ppl   165.30
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  4.22 | loss  5.13 | ppl   168.37
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  4.27 | loss  5.14 | ppl   170.62
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  4.26 | loss  5.06 | ppl   157.51
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  4.22 | loss  5.05 | ppl   156.10
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  4.26 | loss  5.06 | ppl   157.16
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 68.94s | valid loss  5.21 | valid ppl   182.59
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  4.26 | loss  5.10 | ppl   163.77
