Vocabulary Size:  27710
Total number of model parameters: 14.09M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  2.86 | loss  7.64 | ppl  2079.24
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  2.36 | loss  6.15 | ppl   468.94
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  2.35 | loss  5.92 | ppl   372.01
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  2.34 | loss  5.75 | ppl   313.31
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  2.34 | loss  5.64 | ppl   282.29
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  2.36 | loss  5.67 | ppl   289.72
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  2.35 | loss  5.66 | ppl   285.78
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  2.36 | loss  5.66 | ppl   285.81
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  2.37 | loss  5.65 | ppl   283.60
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  2.34 | loss  5.64 | ppl   281.39
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  2.34 | loss  5.62 | ppl   275.82
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  2.36 | loss  5.69 | ppl   297.08
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  2.34 | loss  6.08 | ppl   438.62
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  2.34 | loss  6.32 | ppl   557.11
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  2.34 | loss  6.21 | ppl   497.02
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  2.34 | loss  6.21 | ppl   497.65
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  2.35 | loss  6.18 | ppl   481.65
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  2.34 | loss  6.18 | ppl   482.35
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  2.34 | loss  6.14 | ppl   463.09
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  2.34 | loss  6.08 | ppl   438.80
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  2.34 | loss  6.06 | ppl   430.16
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  2.34 | loss  6.05 | ppl   424.06
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  2.34 | loss  6.03 | ppl   416.43
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  2.36 | loss  6.03 | ppl   414.79
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  2.34 | loss  5.99 | ppl   400.20
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  2.36 | loss  6.02 | ppl   410.46
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  2.34 | loss  6.05 | ppl   422.14
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  2.33 | loss  6.10 | ppl   444.87
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  2.34 | loss  6.02 | ppl   412.11
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  2.35 | loss  6.01 | ppl   408.14
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  2.34 | loss  6.06 | ppl   426.46
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 37.99s | valid loss  6.19 | valid ppl   489.00
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  2.35 | loss  6.11 | ppl   452.09
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  2.36 | loss  6.12 | ppl   452.88
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  2.34 | loss  6.17 | ppl   479.00
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  2.37 | loss  6.08 | ppl   437.94
