Vocabulary Size:  27710
Total number of model parameters: 15.96M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  6.54 | loss 17.09 | ppl 26439926.06
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  6.06 | loss  7.95 | ppl  2844.58
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.04 | loss  6.60 | ppl   738.61
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.21 | loss  6.13 | ppl   459.73
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.08 | loss  5.87 | ppl   356.02
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.35 | loss  5.82 | ppl   337.93
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.06 | loss  5.76 | ppl   317.27
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.03 | loss  5.72 | ppl   305.15
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.04 | loss  5.68 | ppl   293.63
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.05 | loss  5.64 | ppl   282.82
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  6.01 | loss  5.59 | ppl   266.75
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  6.01 | loss  5.58 | ppl   265.64
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.02 | loss  5.53 | ppl   252.04
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.05 | loss  5.53 | ppl   253.20
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.01 | loss  5.48 | ppl   239.72
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.02 | loss  5.55 | ppl   257.05
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.01 | loss  5.47 | ppl   237.22
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.02 | loss  5.42 | ppl   225.07
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.01 | loss  5.42 | ppl   224.95
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.05 | loss  5.40 | ppl   221.05
