Vocabulary Size:  27710
Total number of model parameters: 24.12M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  8.27 | loss  9.78 | ppl 17731.43
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  6.61 | loss  8.51 | ppl  4977.51
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.60 | loss  8.27 | ppl  3916.33
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.63 | loss  8.19 | ppl  3590.31
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.58 | loss  8.00 | ppl  2979.92
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.57 | loss  8.34 | ppl  4178.73
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.60 | loss  8.16 | ppl  3508.81
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.60 | loss  8.07 | ppl  3199.74
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.58 | loss  8.00 | ppl  2971.40
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.58 | loss  7.69 | ppl  2197.10
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  6.63 | loss  7.52 | ppl  1851.28
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  6.61 | loss  7.34 | ppl  1546.96
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.61 | loss  7.35 | ppl  1554.50
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.61 | loss  7.44 | ppl  1705.18
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.63 | loss  7.32 | ppl  1514.10
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.62 | loss  7.44 | ppl  1706.40
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.63 | loss  7.24 | ppl  1389.92
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.62 | loss  7.27 | ppl  1437.67
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.59 | loss  7.35 | ppl  1563.83
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.60 | loss  7.29 | ppl  1461.92
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  6.61 | loss  7.26 | ppl  1428.96
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  6.60 | loss  7.31 | ppl  1490.93
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  6.56 | loss  7.25 | ppl  1407.77
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  6.57 | loss  7.16 | ppl  1282.98
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  6.61 | loss  7.19 | ppl  1329.81
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  6.62 | loss  7.23 | ppl  1380.09
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  6.62 | loss  7.21 | ppl  1359.42
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  6.66 | loss  7.19 | ppl  1324.12
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  6.64 | loss  7.17 | ppl  1298.47
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  6.63 | loss  7.18 | ppl  1314.07
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  6.67 | loss  7.19 | ppl  1319.73
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 107.12s | valid loss  6.89 | valid ppl   983.09
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  6.65 | loss  7.32 | ppl  1503.37
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  6.63 | loss  7.37 | ppl  1594.38
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  6.62 | loss  7.28 | ppl  1448.87
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  6.60 | loss  7.26 | ppl  1422.02
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  6.59 | loss  7.16 | ppl  1290.94
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  6.59 | loss  7.25 | ppl  1405.76
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  6.62 | loss  7.24 | ppl  1398.82
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  6.62 | loss  7.23 | ppl  1377.98
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  6.59 | loss  7.33 | ppl  1518.43
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  6.63 | loss  7.38 | ppl  1601.74
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  6.63 | loss  7.25 | ppl  1414.47
