Vocabulary Size:  27710
Total number of model parameters: 14.25M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  3.37 | loss  7.02 | ppl  1123.61
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  2.83 | loss  6.27 | ppl   528.97
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  2.84 | loss  6.02 | ppl   411.28
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  2.87 | loss  5.81 | ppl   333.31
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  2.83 | loss  5.66 | ppl   287.71
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  2.83 | loss  5.67 | ppl   288.66
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  2.83 | loss  5.63 | ppl   279.75
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  2.83 | loss  5.61 | ppl   272.19
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  2.85 | loss  5.58 | ppl   264.00
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  2.85 | loss  5.54 | ppl   255.28
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  2.83 | loss  5.49 | ppl   243.35
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  2.84 | loss  5.49 | ppl   242.09
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  2.84 | loss  5.44 | ppl   229.38
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  2.86 | loss  5.44 | ppl   230.67
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  2.84 | loss  5.39 | ppl   218.91
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  2.84 | loss  5.45 | ppl   233.61
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  2.83 | loss  5.38 | ppl   216.18
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  2.84 | loss  5.32 | ppl   205.23
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  2.86 | loss  5.32 | ppl   204.92
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  2.83 | loss  5.32 | ppl   203.95
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  2.83 | loss  5.35 | ppl   209.81
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  2.84 | loss  5.35 | ppl   209.87
