Vocabulary Size:  27710
Total number of model parameters: 5.73M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  2.88 | loss  6.87 | ppl   959.39
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  2.37 | loss  6.09 | ppl   442.04
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  2.37 | loss  5.89 | ppl   360.21
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  2.38 | loss  5.70 | ppl   299.19
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  2.38 | loss  5.58 | ppl   264.12
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  2.39 | loss  5.59 | ppl   267.36
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  2.37 | loss  5.56 | ppl   260.55
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  2.38 | loss  5.55 | ppl   256.29
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  2.39 | loss  5.52 | ppl   249.05
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  2.46 | loss  5.49 | ppl   241.82
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  2.37 | loss  5.45 | ppl   231.73
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  2.37 | loss  5.45 | ppl   232.21
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  2.37 | loss  5.40 | ppl   222.16
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  2.37 | loss  5.41 | ppl   222.67
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  2.37 | loss  5.36 | ppl   212.07
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  2.38 | loss  5.43 | ppl   227.25
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  2.38 | loss  5.35 | ppl   209.72
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  2.37 | loss  5.30 | ppl   199.67
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  2.38 | loss  5.30 | ppl   199.88
