Vocabulary Size:  27710
Total number of model parameters: 6.05M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  9.71 | loss  9.15 | ppl  9386.11
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  8.25 | loss  8.47 | ppl  4781.42
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  7.80 | loss  8.29 | ppl  3991.96
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  7.94 | loss  8.11 | ppl  3335.89
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  7.81 | loss  8.08 | ppl  3227.93
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  8.11 | loss  8.06 | ppl  3158.20
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  7.73 | loss  8.18 | ppl  3569.39
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  7.50 | loss  7.78 | ppl  2382.25
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  7.76 | loss  7.72 | ppl  2247.67
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  7.60 | loss  7.59 | ppl  1973.31
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  7.63 | loss  7.47 | ppl  1760.19
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  8.05 | loss  7.43 | ppl  1693.34
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  7.58 | loss  7.41 | ppl  1659.31
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  7.71 | loss  7.47 | ppl  1747.58
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  7.66 | loss  7.43 | ppl  1692.11
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  7.53 | loss  7.51 | ppl  1827.74
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  7.58 | loss  7.34 | ppl  1540.35
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  7.63 | loss  7.27 | ppl  1443.65
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  7.62 | loss  7.36 | ppl  1566.12
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  7.56 | loss  7.29 | ppl  1462.12
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  8.31 | loss  7.34 | ppl  1541.98
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  8.03 | loss  7.38 | ppl  1597.63
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  7.98 | loss  7.39 | ppl  1622.08
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  7.94 | loss  7.30 | ppl  1481.37
