We are using cuda:1
In train stage: data size: torch.Size([40, 1, 28, 28])
In test stage: data size: torch.Size([40, 1, 28, 28])
Train batch num: 1500, test batch num: 250
   Iter[100] loss:17835.515625, rec loss:17404.076171875, kl loss:431.4400634765625
   Iter[200] loss:13694.8759765625, rec loss:12148.51171875, kl loss:1546.3642578125
   Iter[300] loss:10883.412109375, rec loss:9457.619140625, kl loss:1425.7930908203125
   Iter[400] loss:10406.3203125, rec loss:9365.6875, kl loss:1040.6326904296875
   Iter[500] loss:9760.572265625, rec loss:8826.87890625, kl loss:933.6934204101562
   Iter[600] loss:9374.60546875, rec loss:8578.5390625, kl loss:796.0667114257812
   Iter[700] loss:9003.5966796875, rec loss:8307.1171875, kl loss:696.4794921875
   Iter[800] loss:9207.09765625, rec loss:8668.1904296875, kl loss:538.9070434570312
   Iter[900] loss:9538.7314453125, rec loss:9058.3662109375, kl loss:480.36517333984375
   Iter[1000] loss:8464.986328125, rec loss:7935.6806640625, kl loss:529.30517578125
   Iter[1100] loss:8723.1884765625, rec loss:8283.630859375, kl loss:439.55792236328125
   Iter[1200] loss:9487.611328125, rec loss:9177.0654296875, kl loss:310.5462646484375
   Iter[1300] loss:8762.69140625, rec loss:8403.46484375, kl loss:359.22686767578125
   Iter[1400] loss:8975.3095703125, rec loss:8682.6982421875, kl loss:292.61151123046875
   Iter[1500] loss:8511.9130859375, rec loss:8192.205078125, kl loss:319.7076721191406
>> Epoch[1]: loss: 10563.5069609375
   Iter[100] loss:8807.87890625, rec loss:8557.4130859375, kl loss:250.46588134765625
   Iter[200] loss:8853.03125, rec loss:8589.8974609375, kl loss:263.134033203125
   Iter[300] loss:8284.0966796875, rec loss:8005.25439453125, kl loss:278.8418273925781
   Iter[400] loss:8561.6298828125, rec loss:8301.4716796875, kl loss:260.1583251953125
   Iter[500] loss:8198.8330078125, rec loss:7912.91162109375, kl loss:285.9217834472656
   Iter[600] loss:8653.9033203125, rec loss:8434.4560546875, kl loss:219.4470672607422
   Iter[700] loss:8319.9287109375, rec loss:8057.1650390625, kl loss:262.7637939453125
   Iter[800] loss:8132.1484375, rec loss:7877.6875, kl loss:254.4608154296875
   Iter[900] loss:7595.8349609375, rec loss:7272.107421875, kl loss:323.727294921875
   Iter[1000] loss:8488.4599609375, rec loss:8249.1572265625, kl loss:239.30239868164062
   Iter[1100] loss:7650.9423828125, rec loss:7330.560546875, kl loss:320.38165283203125
   Iter[1200] loss:8467.2177734375, rec loss:8218.3701171875, kl loss:248.84738159179688
   Iter[1300] loss:8098.68994140625, rec loss:7820.17431640625, kl loss:278.51568603515625
   Iter[1400] loss:8368.515625, rec loss:8137.86962890625, kl loss:230.64625549316406
   Iter[1500] loss:7908.5625, rec loss:7653.169921875, kl loss:255.39280700683594
>> Epoch[2]: loss: 8372.631290690104
   Iter[100] loss:8277.548828125, rec loss:8032.234375, kl loss:245.31448364257812
   Iter[200] loss:8068.72119140625, rec loss:7782.2900390625, kl loss:286.43115234375
   Iter[300] loss:7840.51953125, rec loss:7571.322265625, kl loss:269.1971740722656
   Iter[400] loss:7950.52685546875, rec loss:7652.0498046875, kl loss:298.47686767578125
   Iter[500] loss:8120.66455078125, rec loss:7895.5419921875, kl loss:225.12277221679688
   Iter[600] loss:8105.96142578125, rec loss:7933.7734375, kl loss:172.18801879882812
   Iter[700] loss:8034.34375, rec loss:7791.41015625, kl loss:242.93350219726562
   Iter[800] loss:8065.07666015625, rec loss:7828.94140625, kl loss:236.1351318359375
   Iter[900] loss:7776.61962890625, rec loss:7533.0791015625, kl loss:243.5406494140625
   Iter[1000] loss:7720.1162109375, rec loss:7489.27099609375, kl loss:230.84515380859375
   Iter[1100] loss:8398.3740234375, rec loss:8218.650390625, kl loss:179.72361755371094
   Iter[1200] loss:7883.1806640625, rec loss:7664.28759765625, kl loss:218.8928680419922
   Iter[1300] loss:7949.546875, rec loss:7710.8017578125, kl loss:238.74505615234375
   Iter[1400] loss:7825.1171875, rec loss:7606.4814453125, kl loss:218.6355743408203
   Iter[1500] loss:8113.8876953125, rec loss:7903.525390625, kl loss:210.36227416992188
>> Epoch[3]: loss: 8009.683770507812
   Iter[100] loss:7607.689453125, rec loss:7371.6650390625, kl loss:236.02420043945312
   Iter[200] loss:6696.2080078125, rec loss:6316.97314453125, kl loss:379.2349853515625
   Iter[300] loss:7405.37939453125, rec loss:7137.90478515625, kl loss:267.474609375
   Iter[400] loss:7353.376953125, rec loss:7021.74462890625, kl loss:331.63226318359375
   Iter[500] loss:7662.33544921875, rec loss:7388.49267578125, kl loss:273.8428955078125
   Iter[600] loss:7997.69287109375, rec loss:7717.9365234375, kl loss:279.7561950683594
   Iter[700] loss:7756.01220703125, rec loss:7436.19580078125, kl loss:319.81658935546875
   Iter[800] loss:7651.82080078125, rec loss:7368.4775390625, kl loss:283.34320068359375
   Iter[900] loss:8342.33984375, rec loss:8110.265625, kl loss:232.0738067626953
   Iter[1000] loss:7186.21240234375, rec loss:6872.0048828125, kl loss:314.2076416015625
   Iter[1100] loss:8616.080078125, rec loss:8398.982421875, kl loss:217.09756469726562
   Iter[1200] loss:7375.8505859375, rec loss:7083.4892578125, kl loss:292.3612365722656
   Iter[1300] loss:7678.001953125, rec loss:7374.3525390625, kl loss:303.649658203125
   Iter[1400] loss:7663.27490234375, rec loss:7360.9091796875, kl loss:302.36578369140625
   Iter[1500] loss:6979.8779296875, rec loss:6668.9072265625, kl loss:310.9708251953125
>> Epoch[4]: loss: 7714.1367021484375
   Iter[100] loss:7531.61962890625, rec loss:7216.6123046875, kl loss:315.00750732421875
   Iter[200] loss:7630.8203125, rec loss:7377.87451171875, kl loss:252.94558715820312
   Iter[300] loss:7334.71240234375, rec loss:7060.3359375, kl loss:274.37628173828125
   Iter[400] loss:7845.76708984375, rec loss:7573.888671875, kl loss:271.8784484863281
   Iter[500] loss:7195.1796875, rec loss:6895.2119140625, kl loss:299.968017578125
   Iter[600] loss:7580.720703125, rec loss:7267.642578125, kl loss:313.0780944824219
   Iter[700] loss:7164.3671875, rec loss:6889.52587890625, kl loss:274.8411865234375
   Iter[800] loss:7420.4921875, rec loss:7113.0966796875, kl loss:307.39544677734375
   Iter[900] loss:7525.7138671875, rec loss:7199.07373046875, kl loss:326.640380859375
   Iter[1000] loss:7383.76025390625, rec loss:7067.3037109375, kl loss:316.4565734863281
   Iter[1100] loss:7409.77294921875, rec loss:7120.8779296875, kl loss:288.89501953125
   Iter[1200] loss:6760.78076171875, rec loss:6452.6904296875, kl loss:308.09014892578125
   Iter[1300] loss:6850.01904296875, rec loss:6533.5234375, kl loss:316.49542236328125
