We are using cuda:1
In train stage: data size: torch.Size([40, 1, 28, 28])
In test stage: data size: torch.Size([40, 1, 28, 28])
Train batch num: 1500, test batch num: 250
   Iter[100] loss:20911.77734375, rec loss:20906.708984375, kl loss:5.0687665939331055
   Iter[200] loss:19792.17578125, rec loss:19693.7421875, kl loss:98.43395233154297
   Iter[300] loss:17894.251953125, rec loss:16781.01171875, kl loss:1113.23974609375
   Iter[400] loss:14973.3720703125, rec loss:13354.3447265625, kl loss:1619.027587890625
   Iter[500] loss:13214.8330078125, rec loss:11468.4267578125, kl loss:1746.40625
   Iter[600] loss:12609.447265625, rec loss:10693.564453125, kl loss:1915.882568359375
   Iter[700] loss:11293.4072265625, rec loss:9773.06640625, kl loss:1520.3408203125
   Iter[800] loss:11345.1484375, rec loss:10157.51171875, kl loss:1187.63671875
   Iter[900] loss:11057.3828125, rec loss:9864.041015625, kl loss:1193.3416748046875
   Iter[1000] loss:10458.701171875, rec loss:9308.494140625, kl loss:1150.20751953125
   Iter[1100] loss:10203.0869140625, rec loss:9212.1953125, kl loss:990.891845703125
   Iter[1200] loss:10286.544921875, rec loss:9366.19921875, kl loss:920.3458862304688
   Iter[1300] loss:10050.2490234375, rec loss:9141.4755859375, kl loss:908.7737426757812
   Iter[1400] loss:9337.482421875, rec loss:8497.02734375, kl loss:840.455078125
   Iter[1500] loss:9800.2568359375, rec loss:9052.4072265625, kl loss:747.8494262695312
>> Epoch[1]: loss: 13235.199376302084
   Iter[100] loss:9159.2373046875, rec loss:8438.91796875, kl loss:720.3189697265625
   Iter[200] loss:8918.7041015625, rec loss:8190.0673828125, kl loss:728.6363525390625
   Iter[300] loss:9741.6318359375, rec loss:9158.5654296875, kl loss:583.06640625
   Iter[400] loss:8884.783203125, rec loss:8166.9677734375, kl loss:717.8154907226562
   Iter[500] loss:8912.6689453125, rec loss:8261.466796875, kl loss:651.2025146484375
   Iter[600] loss:8541.533203125, rec loss:7844.68017578125, kl loss:696.8529052734375
   Iter[700] loss:8655.017578125, rec loss:7996.98828125, kl loss:658.0296630859375
   Iter[800] loss:9744.55859375, rec loss:9284.7548828125, kl loss:459.80389404296875
   Iter[900] loss:9307.134765625, rec loss:8787.484375, kl loss:519.650390625
   Iter[1000] loss:9276.1796875, rec loss:8801.4833984375, kl loss:474.69580078125
   Iter[1100] loss:9013.4765625, rec loss:8523.2724609375, kl loss:490.20379638671875
   Iter[1200] loss:8783.1376953125, rec loss:8304.802734375, kl loss:478.3350524902344
   Iter[1300] loss:8697.578125, rec loss:8238.2626953125, kl loss:459.31549072265625
   Iter[1400] loss:8803.48046875, rec loss:8352.99609375, kl loss:450.4841003417969
   Iter[1500] loss:9125.875, rec loss:8739.8134765625, kl loss:386.06121826171875
>> Epoch[2]: loss: 9015.257662434897
   Iter[100] loss:8727.623046875, rec loss:8303.3056640625, kl loss:424.3170166015625
