We are using cuda:1
In train stage: data size: torch.Size([40, 1, 28, 28])
In test stage: data size: torch.Size([40, 1, 28, 28])
Train batch num: 1500, test batch num: 250
   Iter[100] loss:16105.845703125, rec loss:15795.3955078125, kl loss:310.449951171875
   Iter[200] loss:10690.359375, rec loss:9871.869140625, kl loss:818.4899291992188
   Iter[300] loss:9275.185546875, rec loss:8566.25390625, kl loss:708.93115234375
   Iter[400] loss:9205.447265625, rec loss:8628.42578125, kl loss:577.0218505859375
   Iter[500] loss:9051.365234375, rec loss:8528.384765625, kl loss:522.9803466796875
   Iter[600] loss:8456.064453125, rec loss:7963.6240234375, kl loss:492.4403381347656
   Iter[700] loss:8611.19140625, rec loss:8142.28076171875, kl loss:468.9108581542969
   Iter[800] loss:8394.9560546875, rec loss:7930.947265625, kl loss:464.0085754394531
   Iter[900] loss:8911.119140625, rec loss:8544.814453125, kl loss:366.30499267578125
   Iter[1000] loss:8876.9853515625, rec loss:8524.96484375, kl loss:352.020263671875
   Iter[1100] loss:8481.3701171875, rec loss:8100.83935546875, kl loss:380.5306396484375
   Iter[1200] loss:7968.17578125, rec loss:7592.81494140625, kl loss:375.3609619140625
   Iter[1300] loss:8349.4013671875, rec loss:8036.697265625, kl loss:312.7044677734375
   Iter[1400] loss:8574.767578125, rec loss:8275.4267578125, kl loss:299.3408508300781
   Iter[1500] loss:8581.12109375, rec loss:8292.072265625, kl loss:289.0487060546875
>> Epoch[1]: loss: 9605.1119921875
   Iter[100] loss:8252.75390625, rec loss:7967.70703125, kl loss:285.04638671875
   Iter[200] loss:8886.96875, rec loss:8645.77734375, kl loss:241.1912384033203
   Iter[300] loss:8278.171875, rec loss:7997.47216796875, kl loss:280.6995544433594
   Iter[400] loss:8545.783203125, rec loss:8221.685546875, kl loss:324.0980529785156
   Iter[500] loss:7907.3359375, rec loss:7605.361328125, kl loss:301.9744567871094
   Iter[600] loss:7829.23681640625, rec loss:7508.55517578125, kl loss:320.6817932128906
   Iter[700] loss:7697.94677734375, rec loss:7378.21435546875, kl loss:319.73236083984375
   Iter[800] loss:7328.533203125, rec loss:6976.111328125, kl loss:352.42181396484375
   Iter[900] loss:7385.94970703125, rec loss:7064.25244140625, kl loss:321.69708251953125
   Iter[1000] loss:7740.1396484375, rec loss:7438.0888671875, kl loss:302.0508117675781
   Iter[1100] loss:8002.0283203125, rec loss:7722.06640625, kl loss:279.9620361328125
   Iter[1200] loss:7860.90283203125, rec loss:7572.2138671875, kl loss:288.6889953613281
   Iter[1300] loss:7621.07470703125, rec loss:7326.0166015625, kl loss:295.0583190917969
   Iter[1400] loss:7737.11328125, rec loss:7445.1591796875, kl loss:291.953857421875
   Iter[1500] loss:7510.396484375, rec loss:7218.7314453125, kl loss:291.66510009765625
>> Epoch[2]: loss: 7879.599637044271
   Iter[100] loss:7484.24072265625, rec loss:7130.4169921875, kl loss:353.8237609863281
   Iter[200] loss:7172.55224609375, rec loss:6854.00048828125, kl loss:318.5518493652344
   Iter[300] loss:7447.533203125, rec loss:7157.5166015625, kl loss:290.0167236328125
   Iter[400] loss:7729.6611328125, rec loss:7440.193359375, kl loss:289.4675598144531
   Iter[500] loss:7160.88037109375, rec loss:6833.82568359375, kl loss:327.05450439453125
   Iter[600] loss:8143.86279296875, rec loss:7919.5341796875, kl loss:224.32843017578125
   Iter[700] loss:6752.54736328125, rec loss:6441.302734375, kl loss:311.24481201171875
   Iter[800] loss:7199.7451171875, rec loss:6921.28466796875, kl loss:278.46026611328125
   Iter[900] loss:7466.1640625, rec loss:7178.02783203125, kl loss:288.13616943359375
   Iter[1000] loss:7824.61181640625, rec loss:7559.11181640625, kl loss:265.5001220703125
   Iter[1100] loss:6926.6806640625, rec loss:6597.17724609375, kl loss:329.50347900390625
   Iter[1200] loss:7374.08349609375, rec loss:7091.58935546875, kl loss:282.4943542480469
   Iter[1300] loss:7216.82861328125, rec loss:6903.1357421875, kl loss:313.6927185058594
   Iter[1400] loss:6969.0673828125, rec loss:6646.0546875, kl loss:323.012939453125
   Iter[1500] loss:6508.427734375, rec loss:6176.8037109375, kl loss:331.6240234375
>> Epoch[3]: loss: 7401.607111328125
   Iter[100] loss:7433.52783203125, rec loss:7198.193359375, kl loss:235.33450317382812
   Iter[200] loss:7786.7236328125, rec loss:7551.49267578125, kl loss:235.230712890625
   Iter[300] loss:7577.03369140625, rec loss:7326.548828125, kl loss:250.4846649169922
   Iter[400] loss:7047.2431640625, rec loss:6761.60498046875, kl loss:285.637939453125
   Iter[500] loss:7050.158203125, rec loss:6765.1904296875, kl loss:284.9677429199219
   Iter[600] loss:7375.60693359375, rec loss:7123.8955078125, kl loss:251.71133422851562
   Iter[700] loss:7116.01513671875, rec loss:6837.89306640625, kl loss:278.1221923828125
   Iter[800] loss:7029.02490234375, rec loss:6748.94140625, kl loss:280.0836486816406
   Iter[900] loss:6621.8466796875, rec loss:6333.43359375, kl loss:288.4132080078125
   Iter[1000] loss:7155.08203125, rec loss:6901.2841796875, kl loss:253.79806518554688
   Iter[1100] loss:6693.9287109375, rec loss:6432.919921875, kl loss:261.0085754394531
   Iter[1200] loss:7046.78369140625, rec loss:6801.419921875, kl loss:245.36358642578125
   Iter[1300] loss:7476.2392578125, rec loss:7214.63232421875, kl loss:261.60711669921875
   Iter[1400] loss:7131.849609375, rec loss:6883.3828125, kl loss:248.46664428710938
   Iter[1500] loss:7733.8623046875, rec loss:7486.09716796875, kl loss:247.764892578125
>> Epoch[4]: loss: 7168.04608984375
   Iter[100] loss:7404.48388671875, rec loss:7183.10693359375, kl loss:221.37710571289062
   Iter[200] loss:7431.58837890625, rec loss:7171.26025390625, kl loss:260.3280029296875
   Iter[300] loss:6379.44970703125, rec loss:6069.76025390625, kl loss:309.6893005371094
   Iter[400] loss:7045.7314453125, rec loss:6789.5068359375, kl loss:256.224853515625
   Iter[500] loss:7176.02685546875, rec loss:6943.0693359375, kl loss:232.95755004882812
   Iter[600] loss:6317.1005859375, rec loss:6043.77685546875, kl loss:273.323974609375
   Iter[700] loss:6969.29296875, rec loss:6713.4931640625, kl loss:255.7998809814453
   Iter[800] loss:6761.80419921875, rec loss:6514.361328125, kl loss:247.4430694580078
   Iter[900] loss:6845.08056640625, rec loss:6585.07568359375, kl loss:260.0050048828125
   Iter[1000] loss:6841.525390625, rec loss:6596.9970703125, kl loss:244.52842712402344
   Iter[1100] loss:6832.90576171875, rec loss:6576.80322265625, kl loss:256.1023864746094
   Iter[1200] loss:7078.609375, rec loss:6868.78125, kl loss:209.8280029296875
   Iter[1300] loss:6236.63720703125, rec loss:5954.859375, kl loss:281.7779846191406
   Iter[1400] loss:6961.5947265625, rec loss:6693.31396484375, kl loss:268.28076171875
   Iter[1500] loss:7388.8056640625, rec loss:7172.912109375, kl loss:215.89334106445312
>> Epoch[5]: loss: 6999.108749674479
   Iter[100] loss:6160.82763671875, rec loss:5880.46435546875, kl loss:280.36309814453125
   Iter[200] loss:6876.7275390625, rec loss:6612.2216796875, kl loss:264.5057373046875
   Iter[300] loss:6988.09716796875, rec loss:6735.56494140625, kl loss:252.53201293945312
   Iter[400] loss:6979.0068359375, rec loss:6734.6103515625, kl loss:244.396728515625
   Iter[500] loss:7374.93115234375, rec loss:7166.642578125, kl loss:208.28875732421875
   Iter[600] loss:7154.9794921875, rec loss:6915.373046875, kl loss:239.6063690185547
   Iter[700] loss:7312.470703125, rec loss:7100.705078125, kl loss:211.765625
   Iter[800] loss:6750.5283203125, rec loss:6483.57861328125, kl loss:266.9496765136719
   Iter[900] loss:7269.84521484375, rec loss:7041.640625, kl loss:228.20474243164062
   Iter[1000] loss:6571.7998046875, rec loss:6338.8642578125, kl loss:232.93569946289062
   Iter[1100] loss:6729.0791015625, rec loss:6502.458984375, kl loss:226.61990356445312
   Iter[1200] loss:6624.6240234375, rec loss:6374.06396484375, kl loss:250.55987548828125
   Iter[1300] loss:6982.0478515625, rec loss:6758.04931640625, kl loss:223.99851989746094
   Iter[1400] loss:7042.67431640625, rec loss:6784.5322265625, kl loss:258.1422119140625
   Iter[1500] loss:6758.478515625, rec loss:6513.12744140625, kl loss:245.35104370117188
>> Epoch[6]: loss: 6869.057642578125
   Iter[100] loss:6610.04736328125, rec loss:6384.2041015625, kl loss:225.84317016601562
   Iter[200] loss:6815.1376953125, rec loss:6601.333984375, kl loss:213.80361938476562
   Iter[300] loss:6680.25732421875, rec loss:6466.21875, kl loss:214.03863525390625
   Iter[400] loss:7148.06591796875, rec loss:6936.35595703125, kl loss:211.70973205566406
   Iter[500] loss:6645.63037109375, rec loss:6396.998046875, kl loss:248.63211059570312
   Iter[600] loss:6696.50537109375, rec loss:6437.07861328125, kl loss:259.4268493652344
   Iter[700] loss:7021.1181640625, rec loss:6805.9111328125, kl loss:215.20703125
   Iter[800] loss:6597.86376953125, rec loss:6358.8642578125, kl loss:238.99960327148438
   Iter[900] loss:7407.79931640625, rec loss:7186.3359375, kl loss:221.46356201171875
   Iter[1000] loss:6844.17919921875, rec loss:6609.91650390625, kl loss:234.26260375976562
   Iter[1100] loss:6473.13525390625, rec loss:6219.6630859375, kl loss:253.4720458984375
   Iter[1200] loss:6381.41552734375, rec loss:6130.5185546875, kl loss:250.8968505859375
   Iter[1300] loss:6575.84765625, rec loss:6338.490234375, kl loss:237.35748291015625
   Iter[1400] loss:6495.67138671875, rec loss:6249.263671875, kl loss:246.4078826904297
   Iter[1500] loss:6516.55078125, rec loss:6260.9892578125, kl loss:255.5614471435547
>> Epoch[7]: loss: 6774.123895833333
   Iter[100] loss:6809.84521484375, rec loss:6586.4130859375, kl loss:223.43197631835938
   Iter[200] loss:6826.9716796875, rec loss:6615.5283203125, kl loss:211.44317626953125
   Iter[300] loss:6748.09814453125, rec loss:6515.05908203125, kl loss:233.0390625
   Iter[400] loss:7160.01171875, rec loss:6952.1123046875, kl loss:207.899169921875
   Iter[500] loss:6407.50537109375, rec loss:6169.890625, kl loss:237.61477661132812
   Iter[600] loss:6733.8759765625, rec loss:6512.9638671875, kl loss:220.91204833984375
   Iter[700] loss:6866.4267578125, rec loss:6631.4580078125, kl loss:234.96859741210938
   Iter[800] loss:7348.7109375, rec loss:7150.66162109375, kl loss:198.0491943359375
   Iter[900] loss:6406.548828125, rec loss:6160.8603515625, kl loss:245.6884765625
   Iter[1000] loss:6734.287109375, rec loss:6524.4306640625, kl loss:209.85655212402344
   Iter[1100] loss:6642.07373046875, rec loss:6406.48974609375, kl loss:235.58404541015625
   Iter[1200] loss:6519.80517578125, rec loss:6298.482421875, kl loss:221.32272338867188
   Iter[1300] loss:6741.1318359375, rec loss:6503.134765625, kl loss:237.9968719482422
   Iter[1400] loss:6907.33837890625, rec loss:6684.8935546875, kl loss:222.44497680664062
   Iter[1500] loss:6605.8662109375, rec loss:6351.595703125, kl loss:254.27044677734375
>> Epoch[8]: loss: 6701.912655598959
   Iter[100] loss:6495.953125, rec loss:6262.978515625, kl loss:232.9748077392578
   Iter[200] loss:6772.86767578125, rec loss:6550.7939453125, kl loss:222.07357788085938
   Iter[300] loss:7049.333984375, rec loss:6837.58251953125, kl loss:211.75152587890625
   Iter[400] loss:6317.26220703125, rec loss:6098.29296875, kl loss:218.9694366455078
   Iter[500] loss:6723.10595703125, rec loss:6507.375, kl loss:215.7311248779297
   Iter[600] loss:6416.833984375, rec loss:6188.13671875, kl loss:228.6974334716797
   Iter[700] loss:5678.6708984375, rec loss:5412.0341796875, kl loss:266.63665771484375
   Iter[800] loss:6825.77685546875, rec loss:6595.818359375, kl loss:229.95870971679688
   Iter[900] loss:6579.099609375, rec loss:6366.9287109375, kl loss:212.17105102539062
   Iter[1000] loss:6722.00634765625, rec loss:6520.052734375, kl loss:201.95367431640625
   Iter[1100] loss:6632.47119140625, rec loss:6410.38134765625, kl loss:222.0897216796875
   Iter[1200] loss:6471.72900390625, rec loss:6228.693359375, kl loss:243.0356903076172
   Iter[1300] loss:6814.2978515625, rec loss:6582.8251953125, kl loss:231.472900390625
   Iter[1400] loss:6682.80322265625, rec loss:6480.173828125, kl loss:202.62939453125
   Iter[1500] loss:7180.21240234375, rec loss:6970.12451171875, kl loss:210.08798217773438
>> Epoch[9]: loss: 6645.053735351563
   Iter[100] loss:6986.06494140625, rec loss:6778.0537109375, kl loss:208.0110321044922
   Iter[200] loss:6548.9794921875, rec loss:6298.712890625, kl loss:250.2667236328125
