We are using cuda:1
In train stage: data size: torch.Size([40, 1, 28, 28])
In test stage: data size: torch.Size([40, 1, 28, 28])
Train batch num: 1500, test batch num: 250
   Iter[100] loss:19901.8671875, rec loss:19878.73828125, kl loss:23.128456115722656
   Iter[200] loss:16805.439453125, rec loss:15343.62890625, kl loss:1461.8101806640625
   Iter[300] loss:13801.1640625, rec loss:11761.650390625, kl loss:2039.5137939453125
   Iter[400] loss:12677.1484375, rec loss:11081.814453125, kl loss:1595.3338623046875
   Iter[500] loss:11071.43359375, rec loss:9628.0703125, kl loss:1443.36279296875
   Iter[600] loss:10812.41015625, rec loss:9450.423828125, kl loss:1361.98681640625
   Iter[700] loss:10327.7578125, rec loss:9233.86328125, kl loss:1093.894287109375
   Iter[800] loss:10132.7451171875, rec loss:9174.4853515625, kl loss:958.260009765625
   Iter[900] loss:9928.4072265625, rec loss:9072.681640625, kl loss:855.7254638671875
   Iter[1000] loss:9610.927734375, rec loss:8799.28515625, kl loss:811.6425170898438
   Iter[1100] loss:9786.0830078125, rec loss:9107.53515625, kl loss:678.5477294921875
   Iter[1200] loss:9013.787109375, rec loss:8283.892578125, kl loss:729.894287109375
   Iter[1300] loss:9153.1669921875, rec loss:8463.904296875, kl loss:689.2630615234375
   Iter[1400] loss:9678.6826171875, rec loss:9176.1796875, kl loss:502.50299072265625
   Iter[1500] loss:8848.3779296875, rec loss:8299.7451171875, kl loss:548.6329345703125
>> Epoch[1]: loss: 11740.57483203125
   Iter[100] loss:8603.748046875, rec loss:8066.9169921875, kl loss:536.8309936523438
   Iter[200] loss:8616.8154296875, rec loss:8095.9873046875, kl loss:520.827880859375
   Iter[300] loss:9328.1416015625, rec loss:8882.55859375, kl loss:445.582763671875
   Iter[400] loss:8783.529296875, rec loss:8335.1865234375, kl loss:448.3430480957031
   Iter[500] loss:8723.736328125, rec loss:8283.0546875, kl loss:440.6813659667969
   Iter[600] loss:8234.48828125, rec loss:7791.79443359375, kl loss:442.6938781738281
   Iter[700] loss:9013.9052734375, rec loss:8641.28515625, kl loss:372.62017822265625
   Iter[800] loss:8470.2666015625, rec loss:8066.18115234375, kl loss:404.08544921875
   Iter[900] loss:9024.671875, rec loss:8664.5068359375, kl loss:360.1651611328125
   Iter[1000] loss:8428.7314453125, rec loss:8010.66845703125, kl loss:418.06329345703125
   Iter[1100] loss:7957.23193359375, rec loss:7536.7470703125, kl loss:420.48480224609375
   Iter[1200] loss:8834.2265625, rec loss:8541.189453125, kl loss:293.03662109375
   Iter[1300] loss:8984.755859375, rec loss:8706.779296875, kl loss:277.97662353515625
   Iter[1400] loss:8276.302734375, rec loss:7929.1044921875, kl loss:347.1978759765625
   Iter[1500] loss:8641.4072265625, rec loss:8300.0283203125, kl loss:341.3793640136719
>> Epoch[2]: loss: 8697.904120442709
   Iter[100] loss:8437.4765625, rec loss:8140.1416015625, kl loss:297.335205078125
   Iter[200] loss:8053.77734375, rec loss:7709.3515625, kl loss:344.426025390625
   Iter[300] loss:8296.8203125, rec loss:7981.1953125, kl loss:315.62493896484375
   Iter[400] loss:8207.3671875, rec loss:7864.060546875, kl loss:343.3061828613281
   Iter[500] loss:8030.33154296875, rec loss:7677.45166015625, kl loss:352.8797912597656
   Iter[600] loss:8393.576171875, rec loss:8062.888671875, kl loss:330.6877746582031
   Iter[700] loss:8161.01025390625, rec loss:7832.6416015625, kl loss:328.3687744140625
   Iter[800] loss:8049.9365234375, rec loss:7682.7001953125, kl loss:367.2362976074219
   Iter[900] loss:8439.939453125, rec loss:8143.1611328125, kl loss:296.7785339355469
   Iter[1000] loss:7631.92041015625, rec loss:7289.919921875, kl loss:342.0005798339844
   Iter[1100] loss:8453.4375, rec loss:8106.60546875, kl loss:346.83154296875
   Iter[1200] loss:8000.49365234375, rec loss:7676.8427734375, kl loss:323.65081787109375
   Iter[1300] loss:8410.7099609375, rec loss:8089.32958984375, kl loss:321.38006591796875
   Iter[1400] loss:7905.14599609375, rec loss:7524.6884765625, kl loss:380.4576416015625
   Iter[1500] loss:8687.6630859375, rec loss:8360.8251953125, kl loss:326.837890625
>> Epoch[3]: loss: 8274.175495117188
   Iter[100] loss:7880.1201171875, rec loss:7499.0498046875, kl loss:381.07037353515625
   Iter[200] loss:7717.8779296875, rec loss:7342.70263671875, kl loss:375.1754150390625
   Iter[300] loss:7808.65087890625, rec loss:7409.7529296875, kl loss:398.8978271484375
   Iter[400] loss:7725.56884765625, rec loss:7347.005859375, kl loss:378.56317138671875
   Iter[500] loss:7838.21240234375, rec loss:7443.181640625, kl loss:395.0307312011719
   Iter[600] loss:7921.92041015625, rec loss:7534.2529296875, kl loss:387.6675720214844
   Iter[700] loss:8013.0849609375, rec loss:7597.07421875, kl loss:416.0107421875
   Iter[800] loss:7653.134765625, rec loss:7217.9228515625, kl loss:435.21173095703125
   Iter[900] loss:7519.06005859375, rec loss:7073.76953125, kl loss:445.2906494140625
   Iter[1000] loss:7643.8671875, rec loss:7256.6943359375, kl loss:387.1726379394531
   Iter[1100] loss:7605.50830078125, rec loss:7146.62890625, kl loss:458.8796081542969
   Iter[1200] loss:7457.794921875, rec loss:7048.95556640625, kl loss:408.83935546875
   Iter[1300] loss:7667.28515625, rec loss:7234.4091796875, kl loss:432.8759765625
   Iter[1400] loss:7201.544921875, rec loss:6706.6279296875, kl loss:494.917236328125
   Iter[1500] loss:7783.00439453125, rec loss:7341.5107421875, kl loss:441.4935302734375
>> Epoch[4]: loss: 7771.887745442708
