We are using cuda:1
In train stage: data size: torch.Size([40, 1, 28, 28])
In test stage: data size: torch.Size([40, 1, 28, 28])
Train batch num: 1500, test batch num: 250
   Iter[1100] loss:7314.2734375, rec loss:6830.08935546875, kl loss:484.1842041015625
   Iter[1200] loss:6696.587890625, rec loss:6193.31494140625, kl loss:503.27294921875
   Iter[1300] loss:7580.37158203125, rec loss:7128.02490234375, kl loss:452.34649658203125
   Iter[1400] loss:7148.58251953125, rec loss:6637.6533203125, kl loss:510.92926025390625
   Iter[1500] loss:7305.9560546875, rec loss:6834.583984375, kl loss:471.3722229003906
>> Epoch[5]: loss: 7552.590383789063
   Iter[100] loss:6849.9990234375, rec loss:6379.35546875, kl loss:470.643310546875
   Iter[200] loss:7553.51123046875, rec loss:7098.03955078125, kl loss:455.4718017578125
   Iter[300] loss:7499.14697265625, rec loss:7050.6416015625, kl loss:448.50543212890625
   Iter[400] loss:7391.61083984375, rec loss:6892.23046875, kl loss:499.38043212890625
   Iter[500] loss:7659.69580078125, rec loss:7191.86767578125, kl loss:467.8282470703125
   Iter[600] loss:7805.904296875, rec loss:7361.17578125, kl loss:444.728271484375
   Iter[700] loss:7060.43994140625, rec loss:6544.85546875, kl loss:515.58447265625
   Iter[800] loss:7271.03369140625, rec loss:6749.8603515625, kl loss:521.1732177734375
   Iter[900] loss:7644.95458984375, rec loss:7113.56396484375, kl loss:531.3907470703125
   Iter[1000] loss:7320.44482421875, rec loss:6830.3974609375, kl loss:490.04718017578125
   Iter[1100] loss:6925.6572265625, rec loss:6404.91796875, kl loss:520.739501953125
   Iter[1200] loss:7142.32080078125, rec loss:6632.50732421875, kl loss:509.81353759765625
   Iter[1300] loss:7183.44775390625, rec loss:6681.1396484375, kl loss:502.3080749511719
   Iter[1400] loss:7020.59716796875, rec loss:6510.31201171875, kl loss:510.2852783203125
   Iter[1500] loss:7137.404296875, rec loss:6583.8798828125, kl loss:553.5245971679688
>> Epoch[6]: loss: 7209.6619150390625
   Iter[100] loss:6947.8447265625, rec loss:6436.1123046875, kl loss:511.73260498046875
   Iter[200] loss:6851.8525390625, rec loss:6322.59765625, kl loss:529.2547607421875
   Iter[300] loss:6804.67919921875, rec loss:6327.22509765625, kl loss:477.45404052734375
   Iter[400] loss:7066.28515625, rec loss:6534.0400390625, kl loss:532.2449340820312
   Iter[500] loss:6943.5595703125, rec loss:6377.048828125, kl loss:566.5109252929688
   Iter[600] loss:6566.8818359375, rec loss:6044.9462890625, kl loss:521.9356689453125
